Year,Funding type,Percentage of funding,,,,,,,,,,,
2000,Equity issuance,8.04,,,,,,,,,,,
2001,Equity issuance,10.55,,,,,,,,,,,
2002,Equity issuance,10.05,,,,,,,,,,,
2003,Equity issuance,11.00,,,,,,,,,,,
2004,Equity issuance,16.27,,,,,,,,,,,
2005,Equity issuance,13.15,,,,,,,,,,,
2006,Equity issuance,11.61,,,,,,,,,,,
2007,Equity issuance,8.37,,,,,,,,,,,
2008,Equity issuance,8.93,,,,,,,,,,,
2009,Equity issuance,11.61,,,,,,,,,,,
2010,Equity issuance,16.29,,,,,,,,,,,
2011,Equity issuance,8.51,,,,,,,,,,,
2012,Equity issuance,9.15,,,,,,,,,,,
2013,Equity issuance,7.74,,,,,,,,,,,
2014,Equity issuance,8.46,,,,,,,,,,,
2015,Equity issuance,6.90,,,,,,,,,,,
2000,Bond issuance,13.77,,,,,,,,,,,
2001,Bond issuance,29.35,,,,,,,,,,,
2002,Bond issuance,29.35,,,,,,,,,,,
2003,Bond issuance,17.99,,,,,,,,,,,
2004,Bond issuance,17.99,,,,,,,,,,,
2005,Bond issuance,13.80,,,,,,,,,,,
2006,Bond issuance,13.80,,,,,,,,,,,
2007,Bond issuance,18.88,,,,,,,,,,,
2008,Bond issuance,18.88,,,,,,,,,,,
2009,Bond issuance,27.89,,,,,,,,,,,
2010,Bond issuance,27.89,,,,,,,,,,,
2011,Bond issuance,35.74,,,,,,,,,,,
2012,Bond issuance,35.74,,,,,,,,,,,
2013,Bond issuance,27.73,,,,,,,,,,,
2014,Bond issuance,27.73,,,,,,,,,,,
2015,Bond issuance,25.40,,,,,,,,,,,
2000,Loan financing,78.18,,,,,,,,,,,
2001,Loan financing,61.49,,,,,,,,,,,
2002,Loan financing,60.59,,,,,,,,,,,
2003,Loan financing,60.69,,,,,,,,,,,
2004,Loan financing,65.74,,,,,,,,,,,
2005,Loan financing,73.07,,,,,,,,,,,
2006,Loan financing,74.59,,,,,,,,,,,
2007,Loan financing,74.42,,,,,,,,,,,
2008,Loan financing,72.20,,,,,,,,,,,
2009,Loan financing,34.94,,,,,,,,,,,
2010,Loan financing,55.81,,,,,,,,,,,
2011,Loan financing,67.03,,,,,,,,,,,
2012,Loan financing,55.11,,,,,,,,,,,
2013,Loan financing,60.55,,,,,,,,,,,
2014,Loan financing,63.81,,,,,,,,,,,
2015,Loan financing,67.70,,,,,,,,,,,
