time,series,value
23.5,Sept 2021,1.45
24,Sept 2021,1.45
24.5,Sept 2021,1.45
25,Sept 2021,1.45
25.5,Sept 2021,1.44
26,Sept 2021,1.44
26.5,Sept 2021,1.44
27,Sept 2021,1.44
27.5,Sept 2021,1.43
28,Sept 2021,1.43
28.5,Sept 2021,1.42
29,Sept 2021,1.42
29.5,Sept 2021,1.41
30,Sept 2021,1.41
30.5,Sept 2021,1.40
31,Sept 2021,1.40
31.5,Sept 2021,1.39
32,Sept 2021,1.38
32.5,Sept 2021,1.38
33,Sept 2021,1.37
33.5,Sept 2021,1.36
34,Sept 2021,1.36
34.5,Sept 2021,1.35
35,Sept 2021,1.34
35.5,Sept 2021,1.33
36,Sept 2021,1.33
36.5,Sept 2021,1.32
37,Sept 2021,1.31
37.5,Sept 2021,1.31
38,Sept 2021,1.30
38.5,Sept 2021,1.29
39,Sept 2021,1.29
39.5,Sept 2021,1.28
40,Sept 2021,1.27
