Date,Transport type,Percentage
2020-11-21,National rail,23
2020-11-22,National rail,23
2020-11-23,National rail,23
2020-11-24,National rail,23
2020-11-25,National rail,23
2020-11-26,National rail,23
2020-11-27,National rail,23
2020-11-28,National rail,23
2020-11-29,National rail,23
2020-11-30,National rail,23
2020-12-01,National rail,24
2020-12-02,National rail,25
2020-12-03,National rail,26
2020-12-04,National rail,27
2020-12-05,National rail,29
2020-12-06,National rail,30
2020-12-07,National rail,31
2020-12-08,National rail,32
2020-12-09,National rail,32
2020-12-10,National rail,33
2020-12-11,National rail,33
2020-12-12,National rail,33
2020-12-13,National rail,33
2020-12-14,National rail,33
2020-12-15,National rail,33
2020-12-16,National rail,32
2020-12-17,National rail,32
2020-12-18,National rail,31
2020-12-19,National rail,30
2020-12-20,National rail,29
2020-12-21,National rail,27
2020-12-22,National rail,27
2020-12-23,National rail,23
2020-12-24,National rail,22
2020-12-25,National rail,21
2020-12-26,National rail,20
2020-12-27,National rail,20
2020-12-28,National rail,17
2020-12-29,National rail,16
2020-12-30,National rail,14
2020-12-31,National rail,12
2021-01-01,National rail,12
2021-01-02,National rail,11
2021-01-03,National rail,12
2021-01-04,National rail,13
2021-01-05,National rail,14
2021-01-06,National rail,13
2021-01-07,National rail,13
2021-01-08,National rail,14
2021-01-09,National rail,14
2021-01-10,National rail,14
2021-01-11,National rail,14
2021-01-12,National rail,14
2021-01-13,National rail,14
2021-01-14,National rail,14
2021-01-15,National rail,14
2021-01-16,National rail,14
2021-01-17,National rail,14
2021-01-18,National rail,14
2021-01-19,National rail,14
2021-01-20,National rail,14
2021-01-21,National rail,14
2021-01-22,National rail,14
2021-01-23,National rail,14
2021-01-24,National rail,14
2021-01-25,National rail,14
2021-01-26,National rail,14
2021-01-27,National rail,14
2021-01-28,National rail,14
2021-01-29,National rail,14
2021-01-30,National rail,14
2021-01-31,National rail,14
2021-02-01,National rail,13
2021-02-02,National rail,13
2021-02-03,National rail,13
2021-02-04,National rail,13
2021-02-05,National rail,12
2021-02-06,National rail,12
2021-02-07,National rail,13
2021-02-08,National rail,13
2020-03-01,London underground,104
2020-03-02,London underground,95
2020-03-03,London underground,95
2020-03-04,London underground,95
2020-03-05,London underground,92
2020-03-06,London underground,92
2020-03-07,London underground,91
2020-03-08,London underground,87
2020-03-09,London underground,90
2020-03-10,London underground,89
2020-03-11,London underground,86
2020-03-12,London underground,81
2020-03-13,London underground,72
2020-03-14,London underground,61
2020-03-15,London underground,54
2020-03-16,London underground,60
2020-03-17,London underground,44
2020-03-18,London underground,35
2020-03-19,London underground,30
2020-03-20,London underground,24
2020-03-21,London underground,13
2020-03-22,London underground,11
2020-03-23,London underground,15
2020-03-24,London underground,9
2020-03-25,London underground,7
2020-03-26,London underground,6
2020-03-27,London underground,6
2020-03-28,London underground,4
2020-03-29,London underground,4
2020-03-30,London underground,6
2020-03-31,London underground,5
2020-04-01,London underground,5
2020-04-02,London underground,5
2020-04-03,London underground,5
2020-04-04,London underground,4
2020-04-05,London underground,4
2020-04-06,London underground,5
2020-04-07,London underground,5
2020-04-08,London underground,5
2020-04-09,London underground,5
2020-04-10,London underground,4
2020-04-11,London underground,4
2020-04-12,London underground,4
2020-04-13,London underground,5
2020-04-14,London underground,5
2020-04-15,London underground,5
2020-04-16,London underground,5
2020-04-17,London underground,5
2020-04-18,London underground,4
2020-04-19,London underground,4
2020-04-20,London underground,5
2020-04-21,London underground,5
2020-04-22,London underground,5
2020-04-23,London underground,5
2020-04-24,London underground,5
2020-04-25,London underground,4
2020-04-26,London underground,3
2020-04-27,London underground,5
2020-04-28,London underground,5
2020-04-29,London underground,5
2020-04-30,London underground,5
2020-05-01,London underground,5
2020-05-02,London underground,4
2020-05-03,London underground,4
2020-05-04,London underground,6
2020-05-05,London underground,6
2020-05-06,London underground,5
2020-05-07,London underground,5
2020-05-08,London underground,7
2020-05-09,London underground,5
2020-05-10,London underground,4
2020-05-11,London underground,6
2020-05-12,London underground,6
2020-05-13,London underground,6
2020-05-14,London underground,6
2020-05-15,London underground,6
2020-05-16,London underground,5
2020-05-17,London underground,6
2020-05-18,London underground,8
2020-05-19,London underground,7
2020-05-20,London underground,7
2020-05-21,London underground,7
2020-05-22,London underground,8
2020-05-23,London underground,6
2020-05-24,London underground,6
2020-05-25,London underground,9
2020-05-26,London underground,9
2020-05-27,London underground,8
2020-05-28,London underground,9
2020-05-29,London underground,9
2020-05-30,London underground,8
2020-05-31,London underground,9
2020-06-01,London underground,10
2020-06-02,London underground,10
2020-06-03,London underground,10
2020-06-04,London underground,10
2020-06-05,London underground,10
2020-06-06,London underground,10
2020-06-07,London underground,11
2020-06-08,London underground,11
2020-06-09,London underground,11
2020-06-10,London underground,11
2020-06-11,London underground,11
2020-06-12,London underground,11
2020-06-13,London underground,12
2020-06-14,London underground,11
2020-06-15,London underground,14
2020-06-16,London underground,13
2020-06-17,London underground,13
2020-06-18,London underground,13
2020-06-19,London underground,14
2020-06-20,London underground,15
2020-06-21,London underground,13
2020-06-22,London underground,16
2020-06-23,London underground,15
2020-06-24,London underground,15
2020-06-25,London underground,15
2020-06-26,London underground,16
2020-06-27,London underground,15
2020-06-28,London underground,16
2020-06-29,London underground,16
2020-06-30,London underground,16
2020-07-01,London underground,16
2020-07-02,London underground,16
2020-07-03,London underground,17
2020-07-04,London underground,18
2020-07-05,London underground,21
2020-07-06,London underground,19
2020-07-07,London underground,19
2020-07-08,London underground,19
2020-07-09,London underground,19
