region,value1,value2
North East,-2.872719894,-0.125313283
North West,-0.767403681,3.866922662
Yorkshire and Humbers,-0.207568997,1.519027193
East Midlands,0.476397867,4.241701977
West Midlands,0.885601025,4.762803336
East of England,2.001148505,2.91148939
London,4.841643833,3.951733197
South East,0.066954257,3.383860901
South West,1.981727199,3.75340117
Wales,0.512392004,2.928752464
Scotland,2.117597828,2.607657345
Northern Ireland,3.300539784,4.349388929
