date,series,value,value2
1989-01-01,CPI Annual Rate,4.9,0.049
1989-02-01,CPI Annual Rate,5,0.05
1989-03-01,CPI Annual Rate,5,0.05
1989-04-01,CPI Annual Rate,5.3,0.053
1989-05-01,CPI Annual Rate,5.3,0.053
1989-06-01,CPI Annual Rate,5.2,0.052
1989-07-01,CPI Annual Rate,5.2,0.052
1989-08-01,CPI Annual Rate,5,0.05
1989-09-01,CPI Annual Rate,5.2,0.052
1989-10-01,CPI Annual Rate,5.5,0.055
1989-11-01,CPI Annual Rate,5.5,0.055
1989-12-01,CPI Annual Rate,5.5,0.055
1990-01-01,CPI Annual Rate,5.7,0.057
1990-02-01,CPI Annual Rate,5.9,0.059
1990-03-01,CPI Annual Rate,6,0.06
1990-04-01,CPI Annual Rate,6.4,0.064
1990-05-01,CPI Annual Rate,6.8,0.068
1990-06-01,CPI Annual Rate,6.9,0.069
1990-07-01,CPI Annual Rate,6.8,0.068
1990-08-01,CPI Annual Rate,7.7,0.077
1990-09-01,CPI Annual Rate,8.1,0.081
1990-10-01,CPI Annual Rate,8.1,0.081
1990-11-01,CPI Annual Rate,7.8,0.078
1990-12-01,CPI Annual Rate,7.6,0.076
1991-01-01,CPI Annual Rate,7.1,0.071
1991-02-01,CPI Annual Rate,7,0.07
1991-03-01,CPI Annual Rate,6.9,0.069
1991-04-01,CPI Annual Rate,8.4,0.084
1991-05-01,CPI Annual Rate,8.2,0.082
1991-06-01,CPI Annual Rate,8.4,0.084
1991-07-01,CPI Annual Rate,8.3,0.083
1991-08-01,CPI Annual Rate,7.9,0.079
1991-09-01,CPI Annual Rate,7.1,0.071
1991-10-01,CPI Annual Rate,6.8,0.068
1991-11-01,CPI Annual Rate,7.1,0.071
1991-12-01,CPI Annual Rate,7.2,0.072
1992-01-01,CPI Annual Rate,7,0.07
1992-02-01,CPI Annual Rate,6.9,0.069
1992-03-01,CPI Annual Rate,7.1,0.071
1992-04-01,CPI Annual Rate,4.7,0.047
1992-05-01,CPI Annual Rate,4.3,0.043
1992-06-01,CPI Annual Rate,3.8,0.038
1992-07-01,CPI Annual Rate,3.6,0.036
1992-08-01,CPI Annual Rate,3,0.03
1992-09-01,CPI Annual Rate,3,0.03
1992-10-01,CPI Annual Rate,2.9,0.029
1992-11-01,CPI Annual Rate,2.6,0.026
1992-12-01,CPI Annual Rate,2.6,0.026
1993-01-01,CPI Annual Rate,2.2,0.022
1993-02-01,CPI Annual Rate,2.4,0.024
1993-03-01,CPI Annual Rate,2.5,0.025
1993-04-01,CPI Annual Rate,2.5,0.025
1993-05-01,CPI Annual Rate,2.5,0.025
1993-06-01,CPI Annual Rate,2.4,0.024
1993-07-01,CPI Annual Rate,2.6,0.026
1993-08-01,CPI Annual Rate,2.9,0.029
1993-09-01,CPI Annual Rate,3.1,0.031
1993-10-01,CPI Annual Rate,2.6,0.026
1993-11-01,CPI Annual Rate,2.3,0.023
1993-12-01,CPI Annual Rate,2.4,0.024
1994-01-01,CPI Annual Rate,2.7,0.027
1994-02-01,CPI Annual Rate,2.5,0.025
1994-03-01,CPI Annual Rate,2.2,0.022
