horizontal,vertical,colour
1,1,blue
2,1,blue
3,1,blue
4,1,blue
5,1,blue
6,1,blue
7,1,blue
8,1,blue
9,1,blue
10,1,blue
1,2,blue
2,2,blue
3,2,blue
4,2,blue
5,2,blue
6,2,blue
7,2,blue
8,2,blue
9,2,blue
10,2,blue
1,3,blue
2,3,blue
3,3,blue
4,3,blue
5,3,blue
6,3,blue
7,3,blue
8,3,blue
9,3,blue
10,3,blue
1,4,blue
2,4,blue
3,4,blue
4,4,blue
5,4,blue
6,4,blue
7,4,blue
8,4,blue
9,4,blue
10,4,blue
1,5,blue
2,5,blue
3,5,blue
4,5,blue
5,5,blue
6,5,blue
7,5,blue
8,5,blue
9,5,blue
10,5,green
1,6,green
2,6,green
3,6,green
4,6,green
5,6,green
6,6,green
7,6,green
8,6,green
9,6,green
10,6,green
1,7,green
2,7,green
3,7,green
4,7,green
5,7,green
6,7,green
7,7,green
8,7,green
9,7,green
10,7,green
1,8,green
2,8,green
3,8,green
4,8,green
5,8,green
6,8,grey
7,8,grey
8,8,grey
9,8,grey
10,8,grey
1,9,grey
2,9,grey
3,9,grey
4,9,grey
5,9,grey
6,9,grey
7,9,grey
8,9,grey
9,9,grey
10,9,grey
1,10,grey
2,10,grey
3,10,grey
4,10,grey
5,10,grey
6,10,grey
7,10,grey
8,10,grey
9,10,grey
10,10,grey
