date,value1,value2,value3
2019-01-31,96700,64341,null
2019-02-28,96070,64496,null
2019-03-31,97130,62325,null
2019-04-30,97200,65747,null
2019-05-31,95900,65544,null
2019-06-30,100280,66945,null
2019-07-31,98490,68762,null
2019-08-31,97850,67470,null
2019-09-30,99740,66626,null
2019-10-31,99390,65262,null
2019-11-30,99030,65132,null
2019-12-31,99080,65747,null
2020-01-31,96070,68439,null
2020-02-29,96030,72200,null
2020-03-31,90240,56371,null
2020-04-30,42130,15857,null
2020-05-31,47950,9346,null
2020-06-01,63540,40706,null
2020-07-01,72220,68669,null
2020-08-01,82110,87494,null
2020-09-01,96650,93358,null
2020-10-01,108690,99306,null
2020-11-01,116080,104996,null
2020-12-01,127030,100146,null
2021-01-01,116560,95341,null
2021-02-01,139570,86046,null
2021-03-01,174460,81528,null
2021-04-01,120000,85715,null
2021-05-01,113840,86484,null
2021-06-01,205700,80464,null
2021-07-01,76760,76197,null
2021-08-01,97590,74338,null
2021-09-01,163620,72403,null
2021-10-01,78900,67701,null
2021-11-01,94030,67593,null
2021-12-01,99470,70204,null
2022-01-01,105450,73220,null
2022-02-01,107740,70240,null
2022-03-01,110460,69531,null
2022-04-01,106550,65974,null
2022-05-01,106430,null,null
2022-06-01,101080,null,220000
2022-07-01,103880,null,220000
2022-08-01,104980,null,220000
