Date,Measure,Value,Detail
2021-04-12,Cumulative cases,4377475,Deaths within 28 days of positive test
2021-04-11,Cumulative cases,4375155,
2021-04-10,Cumulative cases,4373023,
2021-04-09,Cumulative cases,4370996,
2021-04-08,Cumulative cases,4368255,
2021-04-07,Cumulative cases,4365289,
2021-04-06,Cumulative cases,4362224,
2021-04-05,Cumulative cases,4359123,
2021-04-04,Cumulative cases,4356542,
2021-04-03,Cumulative cases,4354280,
2021-04-02,Cumulative cases,4351913,
2021-04-01,Cumulative cases,4349309,
2021-03-31,Cumulative cases,4345838,
2021-03-30,Cumulative cases,4342092,
2021-03-29,Cumulative cases,4338532,
2021-03-28,Cumulative cases,4334569,
2021-03-27,Cumulative cases,4329939,
2021-03-26,Cumulative cases,4326420,
2021-03-25,Cumulative cases,4322037,
2021-03-24,Cumulative cases,4316644,
2021-03-23,Cumulative cases,4310638,
2021-03-22,Cumulative cases,4305387,
2021-03-21,Cumulative cases,4299191,
2021-03-20,Cumulative cases,4293958,
2021-03-19,Cumulative cases,4289864,
2021-03-18,Cumulative cases,4284872,
2021-03-17,Cumulative cases,4279399,
2021-03-16,Cumulative cases,4273625,
2021-03-15,Cumulative cases,4267951,
2021-03-14,Cumulative cases,4261448,
2021-03-13,Cumulative cases,4257149,
2021-03-12,Cumulative cases,4252908,
2021-03-11,Cumulative cases,4247325,
2021-03-10,Cumulative cases,4241551,
2021-03-09,Cumulative cases,4235523,
2021-03-08,Cumulative cases,4229304,
2021-03-07,Cumulative cases,4222667,
2021-03-06,Cumulative cases,4218395,
2021-03-05,Cumulative cases,4213903,
2021-03-04,Cumulative cases,4208603,
2021-03-03,Cumulative cases,4202885,
2021-03-02,Cumulative cases,4196918,
2021-03-01,Cumulative cases,4190269,
2021-02-28,Cumulative cases,4183393,
2021-02-27,Cumulative cases,4178683,
2021-02-26,Cumulative cases,4173869,
2021-02-25,Cumulative cases,4167298,
2021-02-24,Cumulative cases,4159583,
2021-02-23,Cumulative cases,4151048,
2021-02-22,Cumulative cases,4141665,
2021-02-21,Cumulative cases,4130427,
2021-02-20,Cumulative cases,4122556,
2021-02-19,Cumulative cases,4114505,
2021-02-18,Cumulative cases,4104127,
2021-02-17,Cumulative cases,4092724,
2021-02-16,Cumulative cases,4081160,
2021-02-15,Cumulative cases,4068681,
2021-02-14,Cumulative cases,4054421,
2021-02-13,Cumulative cases,4045672,
2021-02-12,Cumulative cases,4036921,
2021-02-11,Cumulative cases,4024769,
2021-02-10,Cumulative cases,4012029,
2021-02-09,Cumulative cases,3998547,
2021-02-08,Cumulative cases,3984753,
2021-02-07,Cumulative cases,3969060,
2021-02-06,Cumulative cases,3957700,
2021-02-05,Cumulative cases,3945750,
2021-02-04,Cumulative cases,3929910,
2021-02-03,Cumulative cases,3911958,
2021-02-02,Cumulative cases,3892567,
2021-02-01,Cumulative cases,3872812,
2021-01-31,Cumulative cases,3850476,
2021-01-30,Cumulative cases,3835104,
2021-01-29,Cumulative cases,3818436,
2021-01-28,Cumulative cases,3796669,
2021-01-27,Cumulative cases,3772531,
2021-01-26,Cumulative cases,3746861,
2021-01-25,Cumulative cases,3719894,
2021-01-24,Cumulative cases,3690002,
2021-01-23,Cumulative cases,3672842,
2021-01-22,Cumulative cases,3651018,
2021-01-21,Cumulative cases,3621491,
2021-01-20,Cumulative cases,3589827,
2021-01-19,Cumulative cases,3554738,
2021-01-18,Cumulative cases,3515264,
2021-01-17,Cumulative cases,3470496,
2021-01-16,Cumulative cases,3441656,
2021-01-15,Cumulative cases,3411128,
2021-01-14,Cumulative cases,3370726,
2021-01-13,Cumulative cases,3328356,
2021-01-12,Cumulative cases,3282977,
2021-01-11,Cumulative cases,3233597,
2021-01-10,Cumulative cases,3176489,
2021-01-09,Cumulative cases,3140146,
2021-01-08,Cumulative cases,3101063,
2021-01-07,Cumulative cases,3054059,
2021-01-06,Cumulative cases,3002129,
2021-01-05,Cumulative cases,2944742,
2021-01-04,Cumulative cases,2879639,
2021-01-03,Cumulative cases,2803475,
2021-01-02,Cumulative cases,2748295,
2021-01-01,Cumulative cases,2687901,
2020-12-31,Cumulative cases,2656055,
2020-12-30,Cumulative cases,2603264,
2020-12-29,Cumulative cases,2532469,
2020-12-28,Cumulative cases,2450938,
2020-12-27,Cumulative cases,2405328,
2020-12-26,Cumulative cases,2357599,
2020-12-25,Cumulative cases,2317227,
2020-12-24,Cumulative cases,2303047,
2020-12-23,Cumulative cases,2271224,
2020-12-22,Cumulative cases,2229031,
2020-12-21,Cumulative cases,2183365,
2020-12-20,Cumulative cases,2135983,
2020-12-19,Cumulative cases,2103517,
2020-12-18,Cumulative cases,2078372,
2020-12-17,Cumulative cases,2042542,
2020-12-16,Cumulative cases,2008653,
2020-12-15,Cumulative cases,1973726,
2020-12-14,Cumulative cases,1939880,
2020-12-13,Cumulative cases,1905155,
2020-12-12,Cumulative cases,1883170,
2020-12-11,Cumulative cases,1863813,
2020-12-10,Cumulative cases,1839740,
2020-12-09,Cumulative cases,1817133,
2020-12-08,Cumulative cases,1795528,
2020-12-07,Cumulative cases,1774748,
2020-12-06,Cumulative cases,1753421,
2020-12-05,Cumulative cases,1739839,
2020-12-04,Cumulative cases,1727102,
2020-12-03,Cumulative cases,1711439,
2020-12-02,Cumulative cases,1695804,
2020-12-01,Cumulative cases,1679336,
2020-11-30,Cumulative cases,1662884,
2020-11-29,Cumulative cases,1644873,
2020-11-28,Cumulative cases,1634195,
2020-11-27,Cumulative cases,1623227,
2020-11-26,Cumulative cases,1608859,
2020-11-25,Cumulative cases,1594282,
2020-11-24,Cumulative cases,1577669,
2020-11-23,Cumulative cases,1561218,
2020-11-22,Cumulative cases,1542442,
2020-11-21,Cumulative cases,1530708,
2020-11-20,Cumulative cases,1518356,
2020-11-19,Cumulative cases,1501505,
2020-11-18,Cumulative cases,1483748,
