date,source,value
1985,Coal,3748.3113
1986,Coal,3838.927
1987,Coal,4057.908
1988,Coal,4200.405
1989,Coal,4376.661
1990,Coal,4459.9653
1991,Coal,4556.455
1992,Coal,4648.5
1993,Coal,4724.65
1994,Coal,4890.3022
1995,Coal,5037.3765
1996,Coal,5277.954
1997,Coal,5393.5605
1998,Coal,5504.1094
1999,Coal,5622.3013
2000,Coal,5718.74
2001,Coal,5801.54
2002,Coal,6058.38
2003,Coal,6463.64
2004,Coal,6696.78
2005,Coal,7043.32
2006,Coal,7442.72
2007,Coal,7936.31
2008,Coal,7933.38
2009,Coal,7823.2
2010,Coal,8363.98
2011,Coal,8819.66
2012,Coal,8860.76
2013,Coal,9312.45
2014,Coal,9500.71
2015,Coal,9166.88
2016,Coal,9228.78
2017,Coal,9521.49
2018,Coal,9903.24
2019,Coal,9684.76
2020,Coal,9294.85
2021,Coal,10110.98
1985,Gas,1426.304
1986,Gas,1432.6661
1987,Gas,1516.4902
1988,Gas,1540.9379
1989,Gas,1728.5165
1990,Gas,1789.7316
1991,Gas,1815.2549
1992,Gas,1829.4059
1993,Gas,1863.8369
1994,Gas,1925.1312
1995,Gas,2036.959
1996,Gas,2100.8845
1997,Gas,2271.1765
1998,Gas,2408.303
1999,Gas,2599.874
2000,Gas,2713.96
2001,Gas,2863
2002,Gas,3066.96
2003,Gas,3197.06
2004,Gas,3441.43
2005,Gas,3608.71
2006,Gas,3827.6
2007,Gas,4140.2
2008,Gas,4247.81
2009,Gas,4278.62
2010,Gas,4741.59
2011,Gas,4808.84
2012,Gas,5085.74
2013,Gas,4988.03
2014,Gas,5136.3
2015,Gas,5463.9
2016,Gas,5708.86
2017,Gas,5832.14
2018,Gas,6046.61
2019,Gas,6230.48
2020,Gas,6151.05
2021,Gas,6317.6
1985,Nuclear,1488.9216
1986,Nuclear,1594.7357
1987,Nuclear,1734.7332
1988,Nuclear,1891.2493
1989,Nuclear,1945.0106
1990,Nuclear,2000.462
1991,Nuclear,2096.1748
1992,Nuclear,2112.089
1993,Nuclear,2184.8262
1994,Nuclear,2225.8442
1995,Nuclear,2322.396
1996,Nuclear,2406.801
1997,Nuclear,2390.2766
1998,Nuclear,2431.4219
1999,Nuclear,2523.9526
2000,Nuclear,2507.43
2001,Nuclear,2573.71
2002,Nuclear,2601.89
2003,Nuclear,2577.71
2004,Nuclear,2682.73
2005,Nuclear,2686.95
2006,Nuclear,2721.42
2007,Nuclear,2666.92
2008,Nuclear,2656.04
2009,Nuclear,2619
2010,Nuclear,2686.44
2011,Nuclear,2575.34
2012,Nuclear,2403.09
2013,Nuclear,2418.07
2014,Nuclear,2472.35
2015,Nuclear,2502.15
2016,Nuclear,2539.93
2017,Nuclear,2565.63
2018,Nuclear,2618.98
2019,Nuclear,2723.54
2020,Nuclear,2634.15
2021,Nuclear,2738.44
1985,Hydro,1979.782
1986,Hydro,2006.5929
1987,Hydro,2033.778
1988,Hydro,2098.947
