date,value,value2
1921,-8.57,null
1922,3.2,null
1923,3.73,null
1924,3.69,null
1925,0.87,null
1926,-0.18,null
1927,6.43,null
1928,-0.04,null
1929,1.88,null
1930,0.6,null
1931,0.14,null
1932,-1.92,null
1933,4.14,null
1934,1.43,null
1935,3.82,null
1936,4.19,null
1937,0.21,null
1938,-0.83,null
1939,3.09,null
1940,-0.95,null
1941,-0.19,null
1942,-1.01,null
1943,-0.56,null
1944,-1.43,null
1945,-2.23,null
1946,0.27,null
1947,1.17,null
1948,-0.53,null
1949,1.91,null
1950,2.66,null
1951,-0.64,null
1952,1.83,null
1953,4.58,null
1954,3.01,null
1955,4.24,null
1956,1.92,null
1957,1.14,null
1958,1.51,null
1959,4.63,null
1960,5.8,null
1961,3.29,null
1962,0.31,null
1963,3.29,null
1964,3.7,null
1965,1.34,null
1966,1.64,null
1967,0.82,null
1968,1.27,null
1969,0.54,null
1970,3.44,null
1971,0.95,null
1972,8.11,null
1973,6.13,null
1974,-0.85,null
1975,0.89,null
1976,-0.33,null
1977,-1.76,null
1978,7.34,null
1979,5.84,null
1980,1.46,null
1981,-0.46,null
1982,0.27,null
1983,2.51,null
1984,3.48,null
1985,4.18,null
1986,4.01,null
1987,2.08,null
1988,5.26,null
1989,4.91,null
1990,3.68,null
1991,1.61,null
1992,2.5,null
1993,2.4,null
1994,1.68,null
1995,2.62,null
1996,2.36,null
1997,2.08,null
1998,0.74,null
1999,4.28,null
2000,5.88,null
2001,2.72,null
2002,2.56,null
2003,1.25,null
2004,2.1,null
2005,1.42,null
2006,1.65,null
2007,2.32,null
2008,-0.86,null
2009,1.05,null
2010,-0.08,null
2011,-2.64,null
2012,1.84,null
2013,1.1,null
2014,1.12,null
2015,5.67,null
2016,-0.34,null
2017,0.29,null
2018,2.2,null
2019,0.79,null
2020,-0.69,null
2021,0.94,null
2022,null,-1.86
