Year,Sector,Value,Detail
2009,Food,181.9672131,
2010,Food,187.5,
2011,Food,196.7213115,
2012,Food,203.0737705,
2013,Food,211.2704918,
2014,Food,210.6557377,
2015,Food,204.9180328,
2016,Food,200,
2017,Food,204.9180328,
2018,Food,208.6065574,
2019,Food,210.8606557,
2020,Food,211.8852459,
1988,All goods,100,
1989,All goods,104.552352,
1990,All goods,111.07739,
1991,All goods,117.9059181,
1992,All goods,121.5477997,
1993,All goods,123.2169954,
1994,All goods,124.8861912,
1995,All goods,127.7693475,
1996,All goods,130.3490137,
1997,All goods,131.2594841,
1998,All goods,131.7147193,
1999,All goods,131.8664643,
2000,All goods,130.8042489,
2001,All goods,129.7420334,
2002,All goods,128.2245827,
2003,All goods,127.4658574,
2004,All goods,127.0106222,
2005,All goods,127.3141123,
2006,All goods,128.983308,
2007,All goods,130.6525038,
2008,All goods,135.0531108,
2009,All goods,136.7223065,
2010,All goods,140.9711684,
2011,All goods,147.4962064,
2012,All goods,150.8345979,
2013,All goods,153.8694992,
2014,All goods,154.7799697,
2015,All goods,151.7450683,
2016,All goods,150.2276176,
2017,All goods,154.1729894,
2018,All goods,158.1183612,
2019,All goods,159.939302,
2020,All goods,159.7875569,
1988,Durables,100,
1989,Durables,102.2146508,
1990,Durables,104.4293015,
1991,Durables,108.3475298,
1992,Durables,111.4139693,
1993,Durables,110.306644,
1994,Durables,110.7325383,
1995,Durables,111.5843271,
1996,Durables,112.5212947,
1997,Durables,111.9250426,
1998,Durables,109.5400341,
1999,Durables,106.0477002,
2000,Durables,101.7035775,
2001,Durables,98.97785349,
2002,Durables,97.44463373,
2003,Durables,95.40034072,
2004,Durables,93.86712095,
2005,Durables,91.73764906,
2006,Durables,89.60817717,
2007,Durables,88.24531516,
2008,Durables,86.3713799,
2009,Durables,87.0528109,
2010,Durables,89.35264055,
2011,Durables,89.26746167,
2012,Durables,88.50085179,
2013,Durables,87.47870528,
2014,Durables,87.13798978,
2015,Durables,85.17887564,
2016,Durables,83.98637138,
2017,Durables,86.28620102,
2018,Durables,87.98977853,
2019,Durables,88.58603066,
2020,Durables,90.11925043,
1988,Clothing,100,
1989,Clothing,104.2995169,
1990,Clothing,107.5845411,
1991,Clothing,108.6956522,
1992,Clothing,107.2463768,
1993,Clothing,104.9758454,
1994,Clothing,102.8502415,
1995,Clothing,100.6280193,
1996,Clothing,97.43961353,
1997,Clothing,95.55555556,
1998,Clothing,91.98067633,
1999,Clothing,86.8115942,
2000,Clothing,80.09661836,
2001,Clothing,73.62318841,
2002,Clothing,67.92270531,
2003,Clothing,65.12077295,
2004,Clothing,61.78743961,
