region,period,value
North East,2016-18,34
North East,2014-16,42
North West,2016-18,36
North West,2014-16,49
Yorkshire & The Humber,2016-18,39
Yorkshire & The Humber,2014-16,49
East Midlands,2016-18,37
East Midlands,2014-16,52
West Midlands,2016-18,39
West Midlands,2014-16,52
Eastern,2016-18,39
Eastern,2014-16,52
London,2016-18,38
London,2014-16,47
South East,2016-18,40
South East,2014-16,51
South West,2016-18,40
South West,2014-16,53
Wales,2016-18,34
Wales,2014-16,47
Scotland,2016-18,32
Scotland,2014-16,45
Northern Ireland,2016-18,32
Northern Ireland,2014-16,39
UK,2016-18,38
UK,2014-16,49
