Date,Category,10-year,Target
2020-05-01,5-year,1.47,2
2020-06-01,5-year,1.53,2
2020-07-01,5-year,1.60,2
2020-08-01,5-year,1.77,2
2020-09-01,5-year,1.78,2
2020-10-01,5-year,1.85,2
2020-11-01,5-year,1.80,2
2020-12-01,5-year,1.97,2
2021-01-01,5-year,2.06,2
2021-02-01,5-year,2.05,2
2021-03-01,5-year,2.53,2
