date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate,date2
02/12/2020,region,E12000001,North East,590,,2020-12-02
01/12/2020,region,E12000001,North East,638,39,2020-12-01
30/11/2020,region,E12000001,North East,528,616,2020-11-30
29/11/2020,region,E12000001,North East,598,446,2020-11-29
28/11/2020,region,E12000001,North East,752,492,2020-11-28
27/11/2020,region,E12000001,North East,805,635,2020-11-27
26/11/2020,region,E12000001,North East,900,702,2020-11-26
25/11/2020,region,E12000001,North East,876,804,2020-11-25
24/11/2020,region,E12000001,North East,598,853,2020-11-24
23/11/2020,region,E12000001,North East,732,971,2020-11-23
22/11/2020,region,E12000001,North East,837,624,2020-11-22
21/11/2020,region,E12000001,North East,1106,678,2020-11-21
20/11/2020,region,E12000001,North East,1439,942,2020-11-20
19/11/2020,region,E12000001,North East,1290,1022,2020-11-19
18/11/2020,region,E12000001,North East,1556,1342,2020-11-18
17/11/2020,region,E12000001,North East,1276,1470,2020-11-17
16/11/2020,region,E12000001,North East,3365,1571,2020-11-16
15/11/2020,region,E12000001,North East,1483,1053,2020-11-15
14/11/2020,region,E12000001,North East,1619,1050,2020-11-14
13/11/2020,region,E12000001,North East,1883,1510,2020-11-13
12/11/2020,region,E12000001,North East,2086,1533,2020-11-12
11/11/2020,region,E12000001,North East,1671,1857,2020-11-11
10/11/2020,region,E12000001,North East,1303,1777,2020-11-10
09/11/2020,region,E12000001,North East,1340,2055,2020-11-09
08/11/2020,region,E12000001,North East,1506,1294,2020-11-08
07/11/2020,region,E12000001,North East,1391,1345,2020-11-07
06/11/2020,region,E12000001,North East,1453,1460,2020-11-06
05/11/2020,region,E12000001,North East,1570,1486,2020-11-05
04/11/2020,region,E12000001,North East,1272,1414,2020-11-04
03/11/2020,region,E12000001,North East,1302,1520,2020-11-03
02/11/2020,region,E12000001,North East,1039,1673,2020-11-02
01/11/2020,region,E12000001,North East,1170,994,2020-11-01
31/10/2020,region,E12000001,North East,1163,883,2020-10-31
30/10/2020,region,E12000001,North East,1054,1210,2020-10-30
29/10/2020,region,E12000001,North East,1136,1122,2020-10-29
28/10/2020,region,E12000001,North East,1021,1171,2020-10-28
27/10/2020,region,E12000001,North East,1162,1176,2020-10-27
26/10/2020,region,E12000001,North East,970,1317,2020-10-26
25/10/2020,region,E12000001,North East,1048,848,2020-10-25
24/10/2020,region,E12000001,North East,1150,861,2020-10-24
23/10/2020,region,E12000001,North East,1277,1038,2020-10-23
22/10/2020,region,E12000001,North East,1393,1227,2020-10-22
21/10/2020,region,E12000001,North East,1888,1507,2020-10-21
20/10/2020,region,E12000001,North East,1438,1433,2020-10-20
19/10/2020,region,E12000001,North East,707,1408,2020-10-19
18/10/2020,region,E12000001,North East,555,826,2020-10-18
17/10/2020,region,E12000001,North East,1101,807,2020-10-17
16/10/2020,region,E12000001,North East,1178,1076,2020-10-16
15/10/2020,region,E12000001,North East,1333,1167,2020-10-15
14/10/2020,region,E12000001,North East,1228,1386,2020-10-14
13/10/2020,region,E12000001,North East,1045,1292,2020-10-13
12/10/2020,region,E12000001,North East,1150,1385,2020-10-12
11/10/2020,region,E12000001,North East,967,930,2020-10-11
10/10/2020,region,E12000001,North East,1151,840,2020-10-10
09/10/2020,region,E12000001,North East,1087,1174,2020-10-09
08/10/2020,region,E12000001,North East,1274,1373,2020-10-08
07/10/2020,region,E12000001,North East,1057,1469,2020-10-07
06/10/2020,region,E12000001,North East,1233,1442,2020-10-06
05/10/2020,region,E12000001,North East,1113,1374,2020-10-05
04/10/2020,region,E12000001,North East,2629,1199,2020-10-04
03/10/2020,region,E12000001,North East,906,1164,2020-10-03
02/10/2020,region,E12000001,North East,421,1216,2020-10-02
01/10/2020,region,E12000001,North East,363,1180,2020-10-01
30/09/2020,region,E12000001,North East,593,963,2020-09-30
29/09/2020,region,E12000001,North East,756,1046,2020-09-29
28/09/2020,region,E12000001,North East,277,971,2020-09-28
27/09/2020,region,E12000001,North East,483,660,2020-09-27
26/09/2020,region,E12000001,North East,522,778,2020-09-26
25/09/2020,region,E12000001,North East,576,608,2020-09-25
24/09/2020,region,E12000001,North East,523,719,2020-09-24
23/09/2020,region,E12000001,North East,667,639,2020-09-23
22/09/2020,region,E12000001,North East,537,549,2020-09-22
21/09/2020,region,E12000001,North East,409,611,2020-09-21
20/09/2020,region,E12000001,North East,418,590,2020-09-20
19/09/2020,region,E12000001,North East,370,434,2020-09-19
18/09/2020,region,E12000001,North East,332,463,2020-09-18
17/09/2020,region,E12000001,North East,264,369,2020-09-17
16/09/2020,region,E12000001,North East,278,328,2020-09-16
15/09/2020,region,E12000001,North East,201,263,2020-09-15
14/09/2020,region,E12000001,North East,89,196,2020-09-14
13/09/2020,region,E12000001,North East,195,141,2020-09-13
12/09/2020,region,E12000001,North East,228,156,2020-09-12
11/09/2020,region,E12000001,North East,218,200,2020-09-11
10/09/2020,region,E12000001,North East,203,236,2020-09-10
09/09/2020,region,E12000001,North East,216,234,2020-09-09
08/09/2020,region,E12000001,North East,108,224,2020-09-08
07/09/2020,region,E12000001,North East,190,203,2020-09-07
06/09/2020,region,E12000001,North East,232,170,2020-09-06
05/09/2020,region,E12000001,North East,116,233,2020-09-05
04/09/2020,region,E12000001,North East,117,176,2020-09-04
03/09/2020,region,E12000001,North East,73,204,2020-09-03
02/09/2020,region,E12000001,North East,95,127,2020-09-02
01/09/2020,region,E12000001,North East,89,118,2020-09-01
31/08/2020,region,E12000001,North East,100,91,2020-08-31
30/08/2020,region,E12000001,North East,91,61,2020-08-30
29/08/2020,region,E12000001,North East,19,78,2020-08-29
28/08/2020,region,E12000001,North East,46,67,2020-08-28
27/08/2020,region,E12000001,North East,54,66,2020-08-27
26/08/2020,region,E12000001,North East,47,68,2020-08-26
25/08/2020,region,E12000001,North East,18,49,2020-08-25
24/08/2020,region,E12000001,North East,45,39,2020-08-24
23/08/2020,region,E12000001,North East,28,23,2020-08-23
22/08/2020,region,E12000001,North East,38,33,2020-08-22
21/08/2020,region,E12000001,North East,38,42,2020-08-21
20/08/2020,region,E12000001,North East,30,43,2020-08-20
19/08/2020,region,E12000001,North East,22,46,2020-08-19
18/08/2020,region,E12000001,North East,22,36,2020-08-18
17/08/2020,region,E12000001,North East,18,32,2020-08-17
16/08/2020,region,E12000001,North East,39,11,2020-08-16
15/08/2020,region,E12000001,North East,40,18,2020-08-15
14/08/2020,region,E12000001,North East,76,31,2020-08-14
13/08/2020,region,E12000001,North East,0,53,2020-08-13
12/08/2020,region,E12000001,North East,18,39,2020-08-12
11/08/2020,region,E12000001,North East,21,45,2020-08-11
10/08/2020,region,E12000001,North East,10,21,2020-08-10
09/08/2020,region,E12000001,North East,18,15,2020-08-09
08/08/2020,region,E12000001,North East,20,12,2020-08-08
07/08/2020,region,E12000001,North East,29,15,2020-08-07
06/08/2020,region,E12000001,North East,18,24,2020-08-06
05/08/2020,region,E12000001,North East,20,30,2020-08-05
04/08/2020,region,E12000001,North East,10,20,2020-08-04
03/08/2020,region,E12000001,North East,13,19,2020-08-03
02/08/2020,region,E12000001,North East,13,16,2020-08-02
01/08/2020,region,E12000001,North East,14,9,2020-08-01
31/07/2020,region,E12000001,North East,19,12,2020-07-31
30/07/2020,region,E12000001,North East,7,15,2020-07-30
29/07/2020,region,E12000001,North East,11,21,2020-07-29
28/07/2020,region,E12000001,North East,11,5,2020-07-28
27/07/2020,region,E12000001,North East,4,9,2020-07-27
26/07/2020,region,E12000001,North East,4,6,2020-07-26
25/07/2020,region,E12000001,North East,12,5,2020-07-25
24/07/2020,region,E12000001,North East,9,7,2020-07-24
23/07/2020,region,E12000001,North East,17,8,2020-07-23
22/07/2020,region,E12000001,North East,9,16,2020-07-22
21/07/2020,region,E12000001,North East,3,14,2020-07-21
20/07/2020,region,E12000001,North East,7,11,2020-07-20
19/07/2020,region,E12000001,North East,21,7,2020-07-19
18/07/2020,region,E12000001,North East,16,4,2020-07-18
17/07/2020,region,E12000001,North East,7,10,2020-07-17
16/07/2020,region,E12000001,North East,12,15,2020-07-16
15/07/2020,region,E12000001,North East,4,16,2020-07-15
14/07/2020,region,E12000001,North East,4,12,2020-07-14
13/07/2020,region,E12000001,North East,8,9,2020-07-13
12/07/2020,region,E12000001,North East,16,3,2020-07-12
11/07/2020,region,E12000001,North East,19,7,2020-07-11
10/07/2020,region,E12000001,North East,11,10,2020-07-10
09/07/2020,region,E12000001,North East,10,17,2020-07-09
08/07/2020,region,E12000001,North East,4,12,2020-07-08
07/07/2020,region,E12000001,North East,3,12,2020-07-07
06/07/2020,region,E12000001,North East,13,11,2020-07-06
05/07/2020,region,E12000001,North East,8,4,2020-07-05
04/07/2020,region,E12000001,North East,11,9,2020-07-04
03/07/2020,region,E12000001,North East,3,8,2020-07-03
02/07/2020,region,E12000001,North East,15,9,2020-07-02
01/07/2020,region,E12000001,North East,4484,7,2020-07-01
30/06/2020,region,E12000001,North East,3,11,2020-06-30
29/06/2020,region,E12000001,North East,1,11,2020-06-29
28/06/2020,region,E12000001,North East,2,9,2020-06-28
27/06/2020,region,E12000001,North East,3,13,2020-06-27
26/06/2020,region,E12000001,North East,10,8,2020-06-26
25/06/2020,region,E12000001,North East,5,12,2020-06-25
24/06/2020,region,E12000001,North East,0,11,2020-06-24
23/06/2020,region,E12000001,North East,7,26,2020-06-23
22/06/2020,region,E12000001,North East,6,24,2020-06-22
21/06/2020,region,E12000001,North East,8,4,2020-06-21
20/06/2020,region,E12000001,North East,13,17,2020-06-20
19/06/2020,region,E12000001,North East,7,14,2020-06-19
18/06/2020,region,E12000001,North East,13,23,2020-06-18
17/06/2020,region,E12000001,North East,14,19,2020-06-17
16/06/2020,region,E12000001,North East,17,18,2020-06-16
15/06/2020,region,E12000001,North East,4,32,2020-06-15
14/06/2020,region,E12000001,North East,9,31,2020-06-14
13/06/2020,region,E12000001,North East,9,31,2020-06-13
12/06/2020,region,E12000001,North East,15,40,2020-06-12
11/06/2020,region,E12000001,North East,13,23,2020-06-11
10/06/2020,region,E12000001,North East,10,38,2020-06-10
09/06/2020,region,E12000001,North East,31,40,2020-06-09
08/06/2020,region,E12000001,North East,2,33,2020-06-08
07/06/2020,region,E12000001,North East,8,17,2020-06-07
06/06/2020,region,E12000001,North East,17,28,2020-06-06
05/06/2020,region,E12000001,North East,18,42,2020-06-05
04/06/2020,region,E12000001,North East,20,59,2020-06-04
03/06/2020,region,E12000001,North East,28,51,2020-06-03
02/06/2020,region,E12000001,North East,26,59,2020-06-02
01/06/2020,region,E12000001,North East,17,70,2020-06-01
31/05/2020,region,E12000001,North East,127,46,2020-05-31
30/05/2020,region,E12000001,North East,37,46,2020-05-30
29/05/2020,region,E12000001,North East,58,70,2020-05-29
28/05/2020,region,E12000001,North East,22,49,2020-05-28
27/05/2020,region,E12000001,North East,27,115,2020-05-27
26/05/2020,region,E12000001,North East,24,100,2020-05-26
25/05/2020,region,E12000001,North East,49,59,2020-05-25
24/05/2020,region,E12000001,North East,16,77,2020-05-24
23/05/2020,region,E12000001,North East,73,76,2020-05-23
22/05/2020,region,E12000001,North East,51,95,2020-05-22
21/05/2020,region,E12000001,North East,55,130,2020-05-21
20/05/2020,region,E12000001,North East,63,131,2020-05-20
19/05/2020,region,E12000001,North East,85,124,2020-05-19
18/05/2020,region,E12000001,North East,14,147,2020-05-18
17/05/2020,region,E12000001,North East,26,98,2020-05-17
16/05/2020,region,E12000001,North East,78,126,2020-05-16
15/05/2020,region,E12000001,North East,66,137,2020-05-15
14/05/2020,region,E12000001,North East,94,139,2020-05-14
13/05/2020,region,E12000001,North East,135,142,2020-05-13
12/05/2020,region,E12000001,North East,79,220,2020-05-12
11/05/2020,region,E12000001,North East,94,229,2020-05-11
10/05/2020,region,E12000001,North East,59,150,2020-05-10
09/05/2020,region,E12000001,North East,87,151,2020-05-09
08/05/2020,region,E12000001,North East,160,158,2020-05-08
07/05/2020,region,E12000001,North East,249,199,2020-05-07
06/05/2020,region,E12000001,North East,64,243,2020-05-06
05/05/2020,region,E12000001,North East,80,252,2020-05-05
04/05/2020,region,E12000001,North East,87,234,2020-05-04
03/05/2020,region,E12000001,North East,223,162,2020-05-03
02/05/2020,region,E12000001,North East,128,183,2020-05-02
01/05/2020,region,E12000001,North East,261,273,2020-05-01
30/04/2020,region,E12000001,North East,328,384,2020-04-30
29/04/2020,region,E12000001,North East,50,359,2020-04-29
28/04/2020,region,E12000001,North East,104,361,2020-04-28
27/04/2020,region,E12000001,North East,139,282,2020-04-27
26/04/2020,region,E12000001,North East,159,159,2020-04-26
25/04/2020,region,E12000001,North East,226,215,2020-04-25
24/04/2020,region,E12000001,North East,228,332,2020-04-24
23/04/2020,region,E12000001,North East,223,333,2020-04-23
22/04/2020,region,E12000001,North East,320,362,2020-04-22
21/04/2020,region,E12000001,North East,164,288,2020-04-21
20/04/2020,region,E12000001,North East,216,315,2020-04-20
19/04/2020,region,E12000001,North East,280,276,2020-04-19
18/04/2020,region,E12000001,North East,158,379,2020-04-18
17/04/2020,region,E12000001,North East,263,291,2020-04-17
16/04/2020,region,E12000001,North East,0,295,2020-04-16
15/04/2020,region,E12000001,North East,0,284,2020-04-15
14/04/2020,region,E12000001,North East,0,256,2020-04-14
13/04/2020,region,E12000001,North East,0,232,2020-04-13
12/04/2020,region,E12000001,North East,0,201,2020-04-12
11/04/2020,region,E12000001,North East,0,267,2020-04-11
10/04/2020,region,E12000001,North East,0,245,2020-04-10
09/04/2020,region,E12000001,North East,0,314,2020-04-09
08/04/2020,region,E12000001,North East,0,289,2020-04-08
07/04/2020,region,E12000001,North East,0,350,2020-04-07
06/04/2020,region,E12000001,North East,0,375,2020-04-06
05/04/2020,region,E12000001,North East,0,221,2020-04-05
04/04/2020,region,E12000001,North East,0,254,2020-04-04
03/04/2020,region,E12000001,North East,0,261,2020-04-03
02/04/2020,region,E12000001,North East,0,219,2020-04-02
01/04/2020,region,E12000001,North East,0,308,2020-04-01
31/03/2020,region,E12000001,North East,0,210,2020-03-31
30/03/2020,region,E12000001,North East,0,176,2020-03-30
29/03/2020,region,E12000001,North East,0,107,2020-03-29
28/03/2020,region,E12000001,North East,0,113,2020-03-28
27/03/2020,region,E12000001,North East,0,102,2020-03-27
26/03/2020,region,E12000001,North East,0,97,2020-03-26
25/03/2020,region,E12000001,North East,0,76,2020-03-25
24/03/2020,region,E12000001,North East,0,76,2020-03-24
23/03/2020,region,E12000001,North East,0,58,2020-03-23
22/03/2020,region,E12000001,North East,0,20,2020-03-22
21/03/2020,region,E12000001,North East,0,23,2020-03-21
20/03/2020,region,E12000001,North East,0,26,2020-03-20
19/03/2020,region,E12000001,North East,0,19,2020-03-19
18/03/2020,region,E12000001,North East,0,14,2020-03-18
17/03/2020,region,E12000001,North East,0,16,2020-03-17
16/03/2020,region,E12000001,North East,0,7,2020-03-16
15/03/2020,region,E12000001,North East,0,10,2020-03-15
14/03/2020,region,E12000001,North East,0,6,2020-03-14
13/03/2020,region,E12000001,North East,0,6,2020-03-13
12/03/2020,region,E12000001,North East,0,2,2020-03-12
11/03/2020,region,E12000001,North East,0,1,2020-03-11
10/03/2020,region,E12000001,North East,0,4,2020-03-10
09/03/2020,region,E12000001,North East,0,3,2020-03-09
08/03/2020,region,E12000001,North East,0,0,2020-03-08
07/03/2020,region,E12000001,North East,0,2,2020-03-07
06/03/2020,region,E12000001,North East,0,1,2020-03-06
05/03/2020,region,E12000001,North East,0,2,2020-03-05
04/03/2020,region,E12000001,North East,0,1,2020-03-04
03/03/2020,region,E12000001,North East,0,0,2020-03-03
02/03/2020,region,E12000001,North East,0,1,2020-03-02
01/03/2020,region,E12000001,North East,0,,2020-03-01
29/02/2020,region,E12000001,North East,0,,2020-02-29
28/02/2020,region,E12000001,North East,0,,2020-02-28
27/02/2020,region,E12000001,North East,0,,2020-02-27
26/02/2020,region,E12000001,North East,0,,2020-02-26
25/02/2020,region,E12000001,North East,0,,2020-02-25
24/02/2020,region,E12000001,North East,0,,2020-02-24
23/02/2020,region,E12000001,North East,0,,2020-02-23
22/02/2020,region,E12000001,North East,0,,2020-02-22
21/02/2020,region,E12000001,North East,0,,2020-02-21
20/02/2020,region,E12000001,North East,0,,2020-02-20
19/02/2020,region,E12000001,North East,0,,2020-02-19
18/02/2020,region,E12000001,North East,0,,2020-02-18
17/02/2020,region,E12000001,North East,0,,2020-02-17
16/02/2020,region,E12000001,North East,0,,2020-02-16
15/02/2020,region,E12000001,North East,0,,2020-02-15
14/02/2020,region,E12000001,North East,0,,2020-02-14
13/02/2020,region,E12000001,North East,0,,2020-02-13
12/02/2020,region,E12000001,North East,0,,2020-02-12
11/02/2020,region,E12000001,North East,0,,2020-02-11
10/02/2020,region,E12000001,North East,0,,2020-02-10
09/02/2020,region,E12000001,North East,0,,2020-02-09
08/02/2020,region,E12000001,North East,0,,2020-02-08
07/02/2020,region,E12000001,North East,0,,2020-02-07
06/02/2020,region,E12000001,North East,0,,2020-02-06
05/02/2020,region,E12000001,North East,0,,2020-02-05
04/02/2020,region,E12000001,North East,0,,2020-02-04
03/02/2020,region,E12000001,North East,0,,2020-02-03
02/02/2020,region,E12000001,North East,0,,2020-02-02
01/02/2020,region,E12000001,North East,0,,2020-02-01
31/01/2020,region,E12000001,North East,0,,2020-01-31
30/01/2020,region,E12000001,North East,0,,2020-01-30
29/01/2020,region,E12000001,North East,0,,2020-01-29
28/01/2020,region,E12000001,North East,0,,2020-01-28
27/01/2020,region,E12000001,North East,0,,2020-01-27
26/01/2020,region,E12000001,North East,0,,2020-01-26
25/01/2020,region,E12000001,North East,0,,2020-01-25
24/01/2020,region,E12000001,North East,0,,2020-01-24
23/01/2020,region,E12000001,North East,0,,2020-01-23
22/01/2020,region,E12000001,North East,0,,2020-01-22
21/01/2020,region,E12000001,North East,0,,2020-01-21
20/01/2020,region,E12000001,North East,0,,2020-01-20
19/01/2020,region,E12000001,North East,0,,2020-01-19
18/01/2020,region,E12000001,North East,0,,2020-01-18
17/01/2020,region,E12000001,North East,0,,2020-01-17
16/01/2020,region,E12000001,North East,0,,2020-01-16
15/01/2020,region,E12000001,North East,0,,2020-01-15
14/01/2020,region,E12000001,North East,0,,2020-01-14
13/01/2020,region,E12000001,North East,0,,2020-01-13
12/01/2020,region,E12000001,North East,0,,2020-01-12
11/01/2020,region,E12000001,North East,0,,2020-01-11
10/01/2020,region,E12000001,North East,0,,2020-01-10
09/01/2020,region,E12000001,North East,0,,2020-01-09
08/01/2020,region,E12000001,North East,0,,2020-01-08
07/01/2020,region,E12000001,North East,0,,2020-01-07
06/01/2020,region,E12000001,North East,0,,2020-01-06
05/01/2020,region,E12000001,North East,0,,2020-01-05
04/01/2020,region,E12000001,North East,0,,2020-01-04
03/01/2020,region,E12000001,North East,0,,2020-01-03
02/12/2020,region,E12000002,North West,1719,,2020-12-02
01/12/2020,region,E12000002,North West,1689,87,2020-12-01
30/11/2020,region,E12000002,North West,802,1501,2020-11-30
29/11/2020,region,E12000002,North West,1346,1036,2020-11-29
28/11/2020,region,E12000002,North West,1669,1131,2020-11-28
27/11/2020,region,E12000002,North West,1789,1415,2020-11-27
26/11/2020,region,E12000002,North West,1861,1587,2020-11-26
25/11/2020,region,E12000002,North West,2097,1826,2020-11-25
24/11/2020,region,E12000002,North West,1469,1853,2020-11-24
23/11/2020,region,E12000002,North West,1573,2173,2020-11-23
22/11/2020,region,E12000002,North West,1994,1382,2020-11-22
21/11/2020,region,E12000002,North West,2134,1377,2020-11-21
20/11/2020,region,E12000002,North West,2886,1984,2020-11-20
19/11/2020,region,E12000002,North West,2673,2177,2020-11-19
18/11/2020,region,E12000002,North West,3120,2573,2020-11-18
17/11/2020,region,E12000002,North West,2446,3055,2020-11-17
16/11/2020,region,E12000002,North West,4580,3365,2020-11-16
15/11/2020,region,E12000002,North West,3105,2115,2020-11-15
14/11/2020,region,E12000002,North West,3699,2375,2020-11-14
13/11/2020,region,E12000002,North West,4365,3222,2020-11-13
12/11/2020,region,E12000002,North West,5122,3417,2020-11-12
11/11/2020,region,E12000002,North West,3840,3913,2020-11-11
10/11/2020,region,E12000002,North West,3388,3897,2020-11-10
09/11/2020,region,E12000002,North West,2796,4710,2020-11-09
08/11/2020,region,E12000002,North West,3077,3173,2020-11-08
07/11/2020,region,E12000002,North West,4520,2808,2020-11-07
06/11/2020,region,E12000002,North West,3689,3849,2020-11-06
05/11/2020,region,E12000002,North West,4594,3909,2020-11-05
04/11/2020,region,E12000002,North West,5020,4091,2020-11-04
03/11/2020,region,E12000002,North West,3915,4451,2020-11-03
02/11/2020,region,E12000002,North West,3246,5939,2020-11-02
01/11/2020,region,E12000002,North West,4045,3065,2020-11-01
31/10/2020,region,E12000002,North West,4587,3145,2020-10-31
30/10/2020,region,E12000002,North West,5080,4379,2020-10-30
29/10/2020,region,E12000002,North West,5032,4545,2020-10-29
28/10/2020,region,E12000002,North West,4991,4648,2020-10-28
27/10/2020,region,E12000002,North West,5322,4943,2020-10-27
26/10/2020,region,E12000002,North West,4724,5543,2020-10-26
25/10/2020,region,E12000002,North West,4293,3284,2020-10-25
24/10/2020,region,E12000002,North West,4603,3393,2020-10-24
23/10/2020,region,E12000002,North West,3956,4485,2020-10-23
22/10/2020,region,E12000002,North West,4531,4781,2020-10-22
21/10/2020,region,E12000002,North West,5468,5545,2020-10-21
20/10/2020,region,E12000002,North West,5037,5595,2020-10-20
19/10/2020,region,E12000002,North West,5217,6154,2020-10-19
18/10/2020,region,E12000002,North West,4335,3208,2020-10-18
17/10/2020,region,E12000002,North West,4005,3587,2020-10-17
16/10/2020,region,E12000002,North West,3324,3891,2020-10-16
15/10/2020,region,E12000002,North West,4252,4164,2020-10-15
14/10/2020,region,E12000002,North West,3732,4473,2020-10-14
13/10/2020,region,E12000002,North West,4510,4280,2020-10-13
12/10/2020,region,E12000002,North West,3981,4756,2020-10-12
11/10/2020,region,E12000002,North West,3519,2929,2020-10-11
10/10/2020,region,E12000002,North West,3672,2937,2020-10-10
09/10/2020,region,E12000002,North West,2471,3730,2020-10-09
08/10/2020,region,E12000002,North West,4448,4275,2020-10-08
07/10/2020,region,E12000002,North West,3555,4358,2020-10-07
06/10/2020,region,E12000002,North West,4441,4532,2020-10-06
05/10/2020,region,E12000002,North West,3166,4338,2020-10-05
04/10/2020,region,E12000002,North West,6742,2899,2020-10-04
03/10/2020,region,E12000002,North West,3539,2946,2020-10-03
02/10/2020,region,E12000002,North West,1603,3421,2020-10-02
01/10/2020,region,E12000002,North West,2031,3588,2020-10-01
30/09/2020,region,E12000002,North West,2279,3624,2020-09-30
29/09/2020,region,E12000002,North West,1816,3168,2020-09-29
28/09/2020,region,E12000002,North West,1138,2989,2020-09-28
27/09/2020,region,E12000002,North West,1568,2244,2020-09-27
26/09/2020,region,E12000002,North West,1646,2013,2020-09-26
25/09/2020,region,E12000002,North West,2215,2215,2020-09-25
24/09/2020,region,E12000002,North West,1890,2209,2020-09-24
23/09/2020,region,E12000002,North West,1267,2156,2020-09-23
22/09/2020,region,E12000002,North West,1381,1970,2020-09-22
21/09/2020,region,E12000002,North West,1345,1478,2020-09-21
20/09/2020,region,E12000002,North West,1061,1560,2020-09-20
19/09/2020,region,E12000002,North West,1334,1510,2020-09-19
18/09/2020,region,E12000002,North West,1402,1399,2020-09-18
17/09/2020,region,E12000002,North West,932,1406,2020-09-17
16/09/2020,region,E12000002,North West,1290,1446,2020-09-16
15/09/2020,region,E12000002,North West,809,1068,2020-09-15
14/09/2020,region,E12000002,North West,734,1050,2020-09-14
13/09/2020,region,E12000002,North West,906,611,2020-09-13
12/09/2020,region,E12000002,North West,800,758,2020-09-12
11/09/2020,region,E12000002,North West,876,875,2020-09-11
10/09/2020,region,E12000002,North West,741,912,2020-09-10
09/09/2020,region,E12000002,North West,477,838,2020-09-09
08/09/2020,region,E12000002,North West,474,858,2020-09-08
07/09/2020,region,E12000002,North West,614,961,2020-09-07
06/09/2020,region,E12000002,North West,706,574,2020-09-06
05/09/2020,region,E12000002,North West,281,541,2020-09-05
04/09/2020,region,E12000002,North West,443,633,2020-09-04
03/09/2020,region,E12000002,North West,368,630,2020-09-03
02/09/2020,region,E12000002,North West,280,666,2020-09-02
01/09/2020,region,E12000002,North West,200,449,2020-09-01
31/08/2020,region,E12000002,North West,266,263,2020-08-31
30/08/2020,region,E12000002,North West,427,257,2020-08-30
29/08/2020,region,E12000002,North West,201,247,2020-08-29
28/08/2020,region,E12000002,North West,286,359,2020-08-28
27/08/2020,region,E12000002,North West,298,288,2020-08-27
26/08/2020,region,E12000002,North West,191,285,2020-08-26
25/08/2020,region,E12000002,North West,214,212,2020-08-25
24/08/2020,region,E12000002,North West,148,231,2020-08-24
23/08/2020,region,E12000002,North West,193,118,2020-08-23
22/08/2020,region,E12000002,North West,180,173,2020-08-22
21/08/2020,region,E12000002,North West,267,210,2020-08-21
20/08/2020,region,E12000002,North West,250,224,2020-08-20
19/08/2020,region,E12000002,North West,176,253,2020-08-19
18/08/2020,region,E12000002,North West,211,191,2020-08-18
17/08/2020,region,E12000002,North West,165,282,2020-08-17
16/08/2020,region,E12000002,North West,200,115,2020-08-16
15/08/2020,region,E12000002,North West,205,156,2020-08-15
14/08/2020,region,E12000002,North West,580,241,2020-08-14
13/08/2020,region,E12000002,North West,0,236,2020-08-13
12/08/2020,region,E12000002,North West,271,275,2020-08-12
11/08/2020,region,E12000002,North West,318,310,2020-08-11
10/08/2020,region,E12000002,North West,201,358,2020-08-10
09/08/2020,region,E12000002,North West,311,159,2020-08-09
08/08/2020,region,E12000002,North West,160,215,2020-08-08
07/08/2020,region,E12000002,North West,216,240,2020-08-07
06/08/2020,region,E12000002,North West,285,279,2020-08-06
05/08/2020,region,E12000002,North West,251,260,2020-08-05
04/08/2020,region,E12000002,North West,167,278,2020-08-04
03/08/2020,region,E12000002,North West,236,300,2020-08-03
02/08/2020,region,E12000002,North West,226,166,2020-08-02
01/08/2020,region,E12000002,North West,172,158,2020-08-01
31/07/2020,region,E12000002,North West,209,178,2020-07-31
30/07/2020,region,E12000002,North West,212,221,2020-07-30
29/07/2020,region,E12000002,North West,178,288,2020-07-29
28/07/2020,region,E12000002,North West,146,198,2020-07-28
27/07/2020,region,E12000002,North West,150,190,2020-07-27
26/07/2020,region,E12000002,North West,164,158,2020-07-26
25/07/2020,region,E12000002,North West,180,137,2020-07-25
24/07/2020,region,E12000002,North West,188,158,2020-07-24
23/07/2020,region,E12000002,North West,139,183,2020-07-23
22/07/2020,region,E12000002,North West,129,208,2020-07-22
21/07/2020,region,E12000002,North West,79,156,2020-07-21
20/07/2020,region,E12000002,North West,130,164,2020-07-20
19/07/2020,region,E12000002,North West,127,93,2020-07-19
18/07/2020,region,E12000002,North West,167,106,2020-07-18
17/07/2020,region,E12000002,North West,141,110,2020-07-17
16/07/2020,region,E12000002,North West,80,150,2020-07-16
15/07/2020,region,E12000002,North West,84,146,2020-07-15
14/07/2020,region,E12000002,North West,58,109,2020-07-14
13/07/2020,region,E12000002,North West,81,105,2020-07-13
12/07/2020,region,E12000002,North West,127,54,2020-07-12
11/07/2020,region,E12000002,North West,139,79,2020-07-11
10/07/2020,region,E12000002,North West,90,88,2020-07-10
09/07/2020,region,E12000002,North West,105,130,2020-07-09
08/07/2020,region,E12000002,North West,131,115,2020-07-08
07/07/2020,region,E12000002,North West,114,94,2020-07-07
06/07/2020,region,E12000002,North West,68,142,2020-07-06
05/07/2020,region,E12000002,North West,85,115,2020-07-05
04/07/2020,region,E12000002,North West,115,71,2020-07-04
03/07/2020,region,E12000002,North West,96,96,2020-07-03
02/07/2020,region,E12000002,North West,94,97,2020-07-02
01/07/2020,region,E12000002,North West,14996,112,2020-07-01
30/06/2020,region,E12000002,North West,31,103,2020-06-30
