Country,SME,Large
Denmark,52,90
Finland,51,92
Sweden,49,92
Malta,41,71
Belgium,40,83
Netherlands,36,67
Czechia,33,68
Lithuania,33,61
Austria,32,73
Ireland,31,67
Luxembourg,30,58
UK,29,67
Germany,27,66
Cyprus,26,63
EU,25,62
Spain,24,45
Portugal,24,60
France,23,69
Croatia,22,47
Estonia,21,59
Slovenia,21,66
Italy,20,55
Slovakia,17,44
Hungary,15,46
Latvia,13,43
Bulgaria,12,26
Romania,10,30
Poland,9,50
Greece,6,24
