name,value
Gibraltar Savings and Loan (1989),37.19
IndyMac (2008),45.22
MCorp (1989),45.57
Bank of New England (1991),48.14
American Savings and Loan (1988),77.67
First RepublicBank Corporation (1988),83.59
Signature Bank (2023),110.36
Continental Illinois (1984),117.2
Silicon Valley Bank (2023),209
Washington Mutual (2008),434
