decile,value,value2
1 (poorest),13.8,7.1
2,14,6.9
3,13.1,5.7
4,12.7,5.2
5,11.9,4.4
6,11.1,4
7,11.2,3.6
8,10.6,3.4
9,9.5,2.9
10 (richest),8.5,2.5
