Date,Age group,Value (%),Detail
2020-07-01,18-59,5.54,UK
2020-09-01,18-59,4.51,
2021-01-01,18-59,3.98,
2020-07-01,60+,1.54,
2020-09-01,60+,1.22,
2021-01-01,60+,1.48,
,,,
,,,
,,,
,,,
