year,value1,value2
2000,24.04,null
2001,23.65,null
2002,23.74,null
2003,23.55,null
2004,23.4,null
2005,22.09,null
2006,22.55,null
2007,22.5,null
2008,22.43,30
2009,23.51,30
2010,23.98,30
2011,23.12,30
2012,23.97,null
2013,23.86,null
2014,23.86,null
2015,23.61,null
2016,23.3,null
2017,22.74,null
2018,22.37,null
2019,22.01,null
2020,21.65,30
2021,19.75,30
