Person,Month,Percentage,,,,,
Lone mother,February,76.1,,,,,
Lone mother,April,73.4,,,,,
Lone mother,May,70.9,,,,,
Lone mother,June,68.2,,,,,
Lone mother,July,73.2,,,,,
Lone mother,September,70.7,,,,,
Lone mother,November,69.8,,,,,
Father (couple),February,92.7,,,,,
Father (couple),April,91.6,,,,,
Father (couple),May,95.1,,,,,
Father (couple),June,96,,,,,
Father (couple),July,96.1,,,,,
Father (couple),September,96.4,,,,,
Father (couple),November,94.1,,,,,
Mother (couple),February,82.3,,,,,
Mother (couple),April,82.5,,,,,
Mother (couple),May,82.3,,,,,
Mother (couple),June,82.5,,,,,
Mother (couple),July,81.8,,,,,
Mother (couple),September,82.3,,,,,
Mother (couple),November,82.4,,,,,
