Date,Port,Value,Detail
2018-01-01,Holyhead,1276.459,Quarterly freigh volumes through Holyhead and Fishguard
2018-04-01,Holyhead,1334.11,Thousand tonnes
2018-07-01,Holyhead,1271.966,
2018-10-01,Holyhead,1339.416,
2019-01-01,Holyhead,1302.532,
2019-04-01,Holyhead,1313.031,
2019-07-01,Holyhead,1350.277,
2019-10-01,Holyhead,1360.264,
2020-01-01,Holyhead,1375.456,
2020-04-01,Holyhead,1346.18,
2020-07-01,Holyhead,1513.135,
2020-10-01,Holyhead,1623.638,
2018-01-01,Fishguard,94.531,
2018-04-01,Fishguard,116.933,
2018-07-01,Fishguard,114.098,
2018-10-01,Fishguard,116.963,
2019-01-01,Fishguard,139.052,
2019-04-01,Fishguard,134.871,
2019-07-01,Fishguard,125.182,
2019-10-01,Fishguard,106.284,
2020-01-01,Fishguard,96.421,
2020-04-01,Fishguard,98.145,
2020-07-01,Fishguard,113.01,
2020-10-01,Fishguard,104.228,
