region,value1,value2
North East,-7.70,-107.70
North West,-16.52,-116.52
Yorkshire and Humbers,-12.55,-112.55
East Midlands,-21.75,-121.75
West Midlands,-21.15,-121.15
East of England,-6.60,-106.60
London,-12.66,-112.66
South East,-12.79,-112.79
South West,-15.10,-115.10
Wales,-2.36,-102.36
Scotland,-12.67,-112.67
Northern Ireland,-30.42,-130.42
