Date,Pound to Euro
2015-01-01,1.3045
2015-02-01,1.3503
2015-03-01,1.3825
2015-04-01,1.3856
2015-05-01,1.3852
2015-06-01,1.3879
2015-07-01,1.4139
2015-08-01,1.4004
2015-09-01,1.3665
2015-10-01,1.3657
2015-11-01,1.4168
2015-12-01,1.3769
2016-01-01,1.3257
2016-02-01,1.289
2016-03-01,1.2809
2016-04-01,1.2622
2016-05-01,1.2846
2016-06-01,1.2646
2016-07-01,1.1884
2016-08-01,1.1687
2016-09-01,1.1722
2016-10-01,1.119
2016-11-01,1.1533
2016-12-01,1.1838
2017-01-01,1.1613
2017-02-01,1.1732
2017-03-01,1.1548
2017-04-01,1.1798
2017-05-01,1.1696
2017-06-01,1.1403
2017-07-01,1.1281
2017-08-01,1.0974
2017-09-01,1.1186
2017-10-01,1.1227
2017-11-01,1.1259
2017-12-01,1.133
2018-01-01,1.1331
2018-02-01,1.1311
2018-03-01,1.1328
2018-04-01,1.1477
2018-05-01,1.1397
2018-06-01,1.1378
2018-07-01,1.1269
2018-08-01,1.1157
2018-09-01,1.1195
2018-10-01,1.133
2018-11-01,1.1352
2018-12-01,1.1128
2019-01-01,1.1298
2019-02-01,1.1473
2019-03-01,1.1653
2019-04-01,1.1603
2019-05-01,1.1479
2019-06-01,1.1225
2019-07-01,1.1118
2019-08-01,1.0925
2019-09-01,1.1223
2019-10-01,1.144
2019-11-01,1.166
2019-12-01,1.1791
2020-01-01,1.1779
2020-02-01,1.1882
2020-03-01,1.1193
2020-04-01,1.1419
2020-05-01,1.1275
2020-06-01,1.1123
2020-07-01,1.1059
2020-08-01,1.11
2020-09-01,1.0993
2020-10-01,1.1032
2020-11-01,1.1164
2020-12-01,1.1039
