date,region,value
Oct-Dec 2019,UK,14.5
Jan-March 2022,UK,30.6
Oct-Dec 2019,England,15.1
Jan-March 2022,England,31
Oct-Dec 2019,Wales,12.4
Jan-March 2022,Wales,30.4
Oct-Dec 2019,Scotland,10.1
Jan-March 2022,Scotland,30.2
Oct-Dec 2019,Northern Ireland,10.3
Jan-March 2022,Northern Ireland,16.4
