Date,Route,Value,Detail
2020-09-01,Holyhead - Dublin,5.8,Change in freight volumes between Wales and Ireland (%)
2020-10-01,Holyhead - Dublin,3.1,
2020-11-01,Holyhead - Dublin,12.1,
2020-12-01,Holyhead - Dublin,35.1,
2021-01-01,Holyhead - Dublin,-56.1,
2021-02-01,Holyhead - Dublin,-46.7,
2020-09-01,Fishguard - Rosslare,-4,
2020-10-01,Fishguard - Rosslare,-2.8,
2020-11-01,Fishguard - Rosslare,6.4,
2020-12-01,Fishguard - Rosslare,-3.4,
2021-01-01,Fishguard - Rosslare,-67.3,
2021-02-01,Fishguard - Rosslare,-83.4,
