date,series,value
2021-08-03,2019,124656
2021-08-04,2019,124604
2021-08-05,2019,124609
2021-08-06,2019,124485
2021-08-07,2019,124282
2021-08-08,2019,124191
2021-08-09,2019,123933
2021-08-10,2019,123506
2021-08-11,2019,123233
2021-08-12,2019,123140
2021-08-13,2019,123122
2021-08-14,2019,123391
2021-08-15,2019,123261
2021-08-16,2019,123491
2021-08-17,2019,123668
2021-08-18,2019,123840
2021-08-19,2019,123923
2021-08-20,2019,124042
2021-08-21,2019,123948
2021-08-22,2019,124221
2021-08-23,2019,124202
2021-08-24,2019,124001
2021-08-25,2019,123938
2021-08-26,2019,123817
2021-08-27,2019,123696
2021-08-28,2019,123842
2021-08-29,2019,123862
2021-08-30,2019,123911
2021-08-31,2019,123840
2021-09-01,2019,122603
2021-09-02,2019,121689
2021-09-03,2019,120484
2021-09-04,2019,119624
2021-09-05,2019,119004
2021-09-06,2019,118329
2021-09-07,2019,117842
2021-09-08,2019,118637
2021-09-09,2019,119179
2021-09-10,2019,119942
2021-09-11,2019,120320
2021-09-12,2019,120578
2021-09-13,2019,120893
2021-09-14,2019,120991
2021-09-15,2019,121058
2021-09-16,2019,121176
2021-09-17,2019,121445
2021-09-18,2019,121534
2021-09-19,2019,121420
2021-09-20,2019,121388
2021-09-21,2019,121408
2021-09-22,2019,121233
2021-09-23,2019,121159
2021-09-24,2019,120908
2021-09-25,2019,120809
2021-09-26,2019,120884
2021-09-27,2019,120868
2021-09-28,2019,120791
2021-09-29,2019,120816
2021-09-30,2019,120784
2021-10-01,2019,120418
2021-10-02,2019,120140
2021-10-03,2019,119784
2021-10-04,2019,119659
2021-10-05,2019,119575
2021-10-06,2019,119440
2021-10-07,2019,119427
2021-10-08,2019,119591
2021-10-09,2019,119432
2021-10-10,2019,119304
2021-10-11,2019,119017
2021-10-12,2019,118592
2021-10-13,2019,118405
2021-10-14,2019,118221
2021-10-15,2019,118103
2021-10-16,2019,118040
2021-10-17,2019,118134
2021-10-18,2019,118424
2021-10-19,2019,118824
2021-10-20,2019,118808
2021-10-21,2019,118656
2021-10-22,2019,118670
2021-10-23,2019,118805
2021-10-24,2019,118763
2021-10-25,2019,118506
2021-10-26,2019,118220
2021-10-27,2019,117658
2021-10-28,2019,117232
2021-10-29,2019,116577
2021-10-30,2019,115799
2021-10-31,2019,114694
2021-11-01,2019,113614
2021-11-02,2019,113062
2021-11-03,2019,112916
2021-11-04,2019,112929
2021-11-05,2019,112870
2021-11-06,2019,112905
2021-11-07,2019,113230
2021-11-08,2019,113745
2021-11-09,2019,113627
2021-11-10,2019,113634
2021-11-11,2019,113111
2021-11-12,2019,112999
2021-11-13,2019,112996
2021-11-14,2019,113081
2021-11-15,2019,113181
2021-11-16,2019,113160
2021-11-17,2019,113057
2021-11-18,2019,113312
2021-11-19,2019,113319
2021-11-20,2019,113185
2021-11-21,2019,113017
2021-11-22,2019,113000
2021-11-23,2019,113222
2021-11-24,2019,113397
2021-11-25,2019,113148
2021-11-26,2019,113045
2021-11-27,2019,113146
2021-11-28,2019,111726
2021-11-29,2019,109652
2021-11-30,2019,109376
2021-12-01,2019,109789
2021-12-02,2019,110335
2021-12-03,2019,110608
2021-12-04,2019,110739
2021-12-05,2019,112247
2021-12-06,2019,114178
2021-12-07,2019,114148
2021-12-08,2019,113480
2021-12-09,2019,112977
2021-12-10,2019,112666
2021-12-11,2019,112482
2021-12-12,2019,112586
2021-12-13,2019,112541
2021-12-14,2019,112630
2021-12-15,2019,112699
2021-12-16,2019,112960
2021-12-17,2019,113087
2021-12-18,2019,113424
2021-12-19,2019,113870
2021-12-20,2019,114577
2021-12-21,2019,115925
2021-12-22,2019,116823
2021-12-23,2019,116967
2021-12-24,2019,115534
2021-12-25,2019,111321
2021-12-26,2019,109471
2021-12-27,2019,108607
2021-12-28,2019,108049
2021-12-29,2019,107679
2021-12-30,2019,107173
2021-12-31,2019,107148
2021-01-01,2020,108395
2021-01-02,2020,109083
2021-01-03,2020,109020
2021-01-04,2020,108889
2021-01-05,2020,109028
2021-01-06,2020,109401
2021-01-07,2020,110699
2021-01-08,2020,112784
2021-01-09,2020,113028
2021-01-10,2020,113094
2021-01-11,2020,112128
2021-01-12,2020,111337
2021-01-13,2020,111079
2021-01-14,2020,110793
2021-01-15,2020,111014
2021-01-16,2020,111126
2021-01-17,2020,111218
2021-01-18,2020,111329
2021-01-19,2020,111249
2021-01-20,2020,111451
2021-01-21,2020,111866
2021-01-22,2020,111905
2021-01-23,2020,111988
2021-01-24,2020,111692
2021-01-25,2020,111474
2021-01-26,2020,111437
2021-01-27,2020,111052
2021-01-28,2020,110365
2021-01-29,2020,109742
2021-01-30,2020,109033
2021-01-31,2020,108538
2021-02-01,2020,107920
2021-02-02,2020,106937
2021-02-03,2020,106023
2021-02-04,2020,105043
2021-02-05,2020,104168
2021-02-06,2020,103129
2021-02-07,2020,102282
2021-02-08,2020,102029
2021-02-09,2020,101403
2021-02-10,2020,100733
2021-02-11,2020,100466
2021-02-12,2020,100332
2021-02-13,2020,100395
2021-02-14,2020,100782
2021-02-15,2020,100772
2021-02-16,2020,100926
2021-02-17,2020,101059
2021-02-18,2020,101298
2021-02-19,2020,101705
2021-02-20,2020,101882
2021-02-21,2020,101872
2021-02-22,2020,102030
2021-02-23,2020,102449
2021-02-24,2020,102687
2021-02-25,2020,102799
2021-02-26,2020,102774
2021-02-27,2020,102910
2021-02-28,2020,102967
2021-03-01,2020,103397
2021-03-02,2020,103761
2021-03-03,2020,104001
2021-03-04,2020,104064
2021-03-05,2020,104161
2021-03-06,2020,104086
2021-03-07,2020,103987
2021-03-08,2020,103818
2021-03-09,2020,103299
2021-03-10,2020,102651
2021-03-11,2020,102116
2021-03-12,2020,101297
2021-03-13,2020,100363
2021-03-14,2020,99517
2021-03-15,2020,98288
2021-03-16,2020,96839
2021-03-17,2020,94822
2021-03-18,2020,91911
2021-03-19,2020,88365
2021-03-20,2020,84416
