date,region,value
Year ending March 2012,EU,193
Year ending March 2013,EU,223
Year ending March 2014,EU,265.9
Year ending March 2015,EU,282.2
Year ending March 2016,EU,282.4
Year ending March 2017,EU,231.8
Year ending March 2018,EU,165.1
Year ending March 2019,EU,177.6
Year ending March 2020,EU,118.9
Year ending June 2020,EU,24
Year ending June 2021,EU,-12
Year ending March 2012,Non-EU,92.8
Year ending March 2013,Non-EU,54.3
Year ending March 2014,Non-EU,92.3
Year ending March 2015,Non-EU,86.3
Year ending March 2016,Non-EU,108.9
Year ending March 2017,Non-EU,115.8
Year ending March 2018,Non-EU,130.6
Year ending March 2019,Non-EU,171.1
Year ending March 2020,Non-EU,226.3
Year ending June 2020,Non-EU,224
Year ending June 2021,Non-EU,251
