region,value,value2
North East,34,42
North West,36,49
Yorkshire & The Humber,39,49
East Midlands,37,52
West Midlands,39,52
Eastern,39,52
London,38,47
South East,40,51
South West,40,53
Wales,34,47
Scotland,32,45
Northern Ireland,32,39
UK,38,49
