Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-09-10,88.80,88.43,85.27,88.74,88.48,89.24,90.20,87.56,85.26
2020-09-17,87.56,88.72,86.03,86.86,84.84,88.68,88.63,84.62,87.49
2020-09-24,89.83,90.29,86.50,87.37,83.58,90.55,90.45,86.00,85.97
2020-10-01,88.96,91.96,89.01,87.93,85.07,92.35,92.60,88.65,87.63
2020-10-08,91.38,92.38,89.67,85.55,84.95,92.45,92.90,89.49,87.44
2020-10-15,89.35,91.77,89.98,86.40,84.17,92.28,92.39,88.84,85.93
2020-11-05,88.95,91.77,90.31,87.69,86.81,91.82,91.44,87.37,86.05
2020-11-12,85.22,89.87,88.63,83.17,84.55,89.46,89.37,82.62,81.42
2020-11-19,82.15,87.07,84.91,79.76,82.90,84.80,85.69,76.74,78.80
2020-11-26,84.11,85.40,83.44,83.43,84.59,83.66,86.94,78.80,81.35
2020-12-03,86.90,87.36,83.16,86.39,87.05,84.76,88.56,83.06,84.83
2020-12-10,87.05,83.88,79.88,86.63,87.56,81.79,88.97,84.32,85.81
