Date,Furloughed
2020-03-01,0.0209
2020-03-02,0.0252
2020-03-03,0.0253
2020-03-04,0.0254
2020-03-05,0.0255
2020-03-06,0.0257
2020-03-07,0.0259
2020-03-08,0.0261
2020-03-09,0.0272
2020-03-10,0.0273
2020-03-11,0.0273
2020-03-12,0.0275
2020-03-13,0.0303
2020-03-14,0.031
2020-03-15,0.0335
2020-03-16,0.0335
2020-03-17,0.0341
2020-03-18,0.0344
2020-03-19,0.0348
2020-03-20,0.3447
2020-03-21,0.8157
2020-03-22,1.0203
2020-03-23,4.7915
2020-03-24,5.6832
2020-03-25,6.0359
2020-03-26,6.1719
2020-03-27,6.3297
2020-03-28,6.4238
2020-03-29,6.4773
2020-03-30,6.8399
2020-03-31,6.8426
2020-04-01,8.4546
2020-04-02,8.4736
2020-04-03,8.5146
2020-04-04,8.5306
2020-04-05,8.5364
2020-04-06,8.6974
2020-04-07,8.708
2020-04-08,8.7185
2020-04-09,8.7288
2020-04-10,8.7434
2020-04-11,8.7312
2020-04-12,8.7302
2020-04-13,8.7622
2020-04-14,8.7771
2020-04-15,8.7804
2020-04-16,8.7859
2020-04-17,8.789
2020-04-18,8.726
2020-04-19,8.7166
2020-04-20,8.8075
2020-04-21,8.8057
2020-04-22,8.8053
2020-04-23,8.8056
2020-04-24,8.8146
2020-04-25,8.7394
2020-04-26,8.7324
2020-04-27,8.7914
2020-04-28,8.7895
2020-04-29,8.786
2020-04-30,8.7866
2020-05-01,8.8564
2020-05-02,8.786
2020-05-03,8.7989
2020-05-04,8.8563
2020-05-05,8.855
2020-05-06,8.8543
2020-05-07,8.8552
2020-05-08,8.8613
2020-05-09,8.8055
2020-05-10,8.7997
2020-05-11,8.8263
2020-05-12,8.8186
2020-05-13,8.8151
2020-05-14,8.8144
2020-05-15,8.8157
2020-05-16,8.7498
2020-05-17,8.7388
2020-05-18,8.7491
2020-05-19,8.7445
2020-05-20,8.7397
2020-05-21,8.7293
2020-05-22,8.7256
2020-05-23,8.6557
2020-05-24,8.6421
2020-05-25,8.6577
2020-05-26,8.6418
2020-05-27,8.6325
2020-05-28,8.6156
2020-05-29,8.6034
2020-05-30,8.4563
2020-05-31,8.3761
2020-06-01,7.7099
2020-06-02,7.703
2020-06-03,7.6997
2020-06-04,7.6981
2020-06-05,7.7018
2020-06-06,7.6446
2020-06-07,7.6321
2020-06-08,7.6309
2020-06-09,7.6286
2020-06-10,7.6325
2020-06-11,7.632
2020-06-12,7.6312
2020-06-13,7.5856
2020-06-14,7.559
2020-06-15,7.5318
2020-06-16,7.5088
2020-06-17,7.5035
2020-06-18,7.4951
2020-06-19,7.4945
2020-06-20,7.436
2020-06-21,7.3979
2020-06-22,7.3108
2020-06-23,7.3006
2020-06-24,7.2783
2020-06-25,7.2611
2020-06-26,7.2313
2020-06-27,7.087
2020-06-28,7.0332
2020-06-29,6.8439
