Year,Occupation,Sickness absence rate (%)
1995,Managers and senior,2
1996,Managers and senior,1.899999976
1997,Managers and senior,1.899999976
1998,Managers and senior,1.899999976
1999,Managers and senior,2.099999905
2000,Managers and senior,1.899999976
2001,Managers and senior,1.600000024
2002,Managers and senior,1.899999976
2003,Managers and senior,1.700000048
2004,Managers and senior,1.600000024
2005,Managers and senior,1.600000024
2006,Managers and senior,1.5
2007,Managers and senior,1.5
2008,Managers and senior,1.600000024
2009,Managers and senior,1.600000024
2010,Managers and senior,1.299999952
2011,Managers and senior,1.200000048
2012,Managers and senior,1.209247112
2013,Managers and senior,1.299999952
2014,Managers and senior,1
2015,Managers and senior,1.299999952
2016,Managers and senior,1.100000024
2017,Managers and senior,0.899999976
2018,Managers and senior,1.299999952
2019,Managers and senior,1.299999952
2020,Managers and senior,1.100000024
1995,Professionals ,2.5
1996,Professionals ,2.299999952
1997,Professionals ,2.5
1998,Professionals ,2.400000095
1999,Professionals ,2.200000048
2000,Professionals ,2.200000048
2001,Professionals ,2.099999905
2002,Professionals ,2.200000048
2003,Professionals ,2
2004,Professionals ,1.899999976
2005,Professionals ,2.200000048
2006,Professionals ,1.899999976
2007,Professionals ,1.799999952
2008,Professionals ,1.799999952
2009,Professionals ,1.799999952
2010,Professionals ,1.799999952
2011,Professionals ,1.799999952
2012,Professionals ,1.814755797
2013,Professionals ,1.799999952
2014,Professionals ,1.799999952
2015,Professionals ,1.799999952
2016,Professionals ,1.700000048
2017,Professionals ,1.700000048
2018,Professionals ,1.799999952
2019,Professionals ,1.799999952
2020,Professionals ,1.600000024
1995,Associate professionals ,3
1996,Associate professionals ,2.900000095
1997,Associate professionals ,3.099999905
1998,Associate professionals ,2.799999952
1999,Associate professionals ,2.900000095
2000,Associate professionals ,2.799999952
2001,Associate professionals ,2.700000048
2002,Associate professionals ,2.599999905
2003,Associate professionals ,2.900000095
2004,Associate professionals ,2.400000095
2005,Associate professionals ,2.400000095
2006,Associate professionals ,2.599999905
2007,Associate professionals ,2.5
2008,Associate professionals ,2.299999952
2009,Associate professionals ,2.5
2010,Associate professionals ,2.299999952
2011,Associate professionals ,1.799999952
2012,Associate professionals ,1.930849314
2013,Associate professionals ,1.799999952
2014,Associate professionals ,1.700000048
2015,Associate professionals ,1.799999952
2016,Associate professionals ,1.899999976
2017,Associate professionals ,1.600000024
2018,Associate professionals ,1.899999976
2019,Associate professionals ,1.600000024
2020,Associate professionals ,1.5
1995,Admin and secretarial,3.299999952
1996,Admin and secretarial,3.299999952
1997,Admin and secretarial,3.299999952
1998,Admin and secretarial,3.299999952
1999,Admin and secretarial,3.400000095
2000,Admin and secretarial,3.299999952
2001,Admin and secretarial,2.700000048
2002,Admin and secretarial,3.099999905
2003,Admin and secretarial,3.299999952
2004,Admin and secretarial,3.099999905
2005,Admin and secretarial,2.799999952
2006,Admin and secretarial,2.599999905
2007,Admin and secretarial,2.900000095
2008,Admin and secretarial,2.799999952
2009,Admin and secretarial,2.799999952
2010,Admin and secretarial,2.400000095
2011,Admin and secretarial,2.200000048
2012,Admin and secretarial,2.159980774
2013,Admin and secretarial,2.200000048
2014,Admin and secretarial,2.099999905
2015,Admin and secretarial,2
2016,Admin and secretarial,2.099999905
2017,Admin and secretarial,2
2018,Admin and secretarial,2
2019,Admin and secretarial,1.899999976
2020,Admin and secretarial,1.299999952
1995,Skilled trade,3.099999905
1996,Skilled trade,3.099999905
1997,Skilled trade,3
1998,Skilled trade,2.700000048
1999,Skilled trade,3
2000,Skilled trade,2.799999952
2001,Skilled trade,2.599999905
2002,Skilled trade,2.5
2003,Skilled trade,2.900000095
2004,Skilled trade,2.5
2005,Skilled trade,2.599999905
2006,Skilled trade,2.400000095
2007,Skilled trade,2.5
2008,Skilled trade,2.200000048
2009,Skilled trade,1.899999976
2010,Skilled trade,2.099999905
2011,Skilled trade,2
2012,Skilled trade,1.977241516
2013,Skilled trade,1.700000048
2014,Skilled trade,1.899999976
2015,Skilled trade,1.799999952
