Date,Value,Measure
2001-02-01,6.2,Total pay (nominal)
2001-03-01,6.3,Total pay (nominal)
2001-04-01,5.1,Total pay (nominal)
2001-05-01,5.5,Total pay (nominal)
2001-06-01,5.2,Total pay (nominal)
2001-07-01,5.2,Total pay (nominal)
2001-08-01,4.8,Total pay (nominal)
2001-09-01,4.7,Total pay (nominal)
2001-10-01,4.5,Total pay (nominal)
2001-11-01,4.1,Total pay (nominal)
2001-12-01,3.8,Total pay (nominal)
2002-01-01,3.3,Total pay (nominal)
2002-02-01,3.2,Total pay (nominal)
2002-03-01,3.1,Total pay (nominal)
2002-04-01,3.3,Total pay (nominal)
2002-05-01,3.5,Total pay (nominal)
2002-06-01,3.8,Total pay (nominal)
2002-07-01,3.5,Total pay (nominal)
2002-08-01,3.3,Total pay (nominal)
2002-09-01,3,Total pay (nominal)
2002-10-01,2.9,Total pay (nominal)
2002-11-01,2.7,Total pay (nominal)
2002-12-01,2.6,Total pay (nominal)
2003-01-01,2.4,Total pay (nominal)
2003-02-01,2.9,Total pay (nominal)
2003-03-01,3.1,Total pay (nominal)
2003-04-01,3.3,Total pay (nominal)
2003-05-01,2.8,Total pay (nominal)
2003-06-01,2.7,Total pay (nominal)
2003-07-01,2.9,Total pay (nominal)
2003-08-01,3.1,Total pay (nominal)
2003-09-01,3.5,Total pay (nominal)
2003-10-01,3.6,Total pay (nominal)
2003-11-01,3.9,Total pay (nominal)
2003-12-01,4,Total pay (nominal)
2004-01-01,3.9,Total pay (nominal)
2004-02-01,3.7,Total pay (nominal)
2004-03-01,3.8,Total pay (nominal)
2004-04-01,4.1,Total pay (nominal)
2004-05-01,4.3,Total pay (nominal)
2004-06-01,4.4,Total pay (nominal)
2004-07-01,4.4,Total pay (nominal)
2004-08-01,4.6,Total pay (nominal)
2004-09-01,4.7,Total pay (nominal)
2004-10-01,4.9,Total pay (nominal)
2004-11-01,4.8,Total pay (nominal)
2004-12-01,4.8,Total pay (nominal)
2005-01-01,5,Total pay (nominal)
2005-02-01,5.1,Total pay (nominal)
2005-03-01,4.7,Total pay (nominal)
2005-04-01,4.3,Total pay (nominal)
2005-05-01,4.3,Total pay (nominal)
2005-06-01,4.5,Total pay (nominal)
2005-07-01,4.7,Total pay (nominal)
2005-08-01,4.8,Total pay (nominal)
2005-09-01,4.5,Total pay (nominal)
2005-10-01,4.3,Total pay (nominal)
