Date,Country,Cumulative Covid-19 cases ,Cumulative Covid-19 deaths
2020-01-29,Guinea,4,6
2020-02-05,Guinea,30,7
2020-02-12,Guinea,164,11
2020-02-19,Guinea,404,14
2020-02-26,Guinea,761,18
2020-03-04,Guinea,1351,20
2020-03-11,Guinea,1856,23
2020-03-18,Guinea,2374,23
2020-03-25,Guinea,2863,26
2020-04-01,Guinea,3275,29
2020-04-08,Guinea,3933,33
2020-04-15,Guinea,4258,34
2020-04-22,Guinea,4668,38
2020-04-29,Guinea,5174,41
2020-05-06,Guinea,5404,46
2020-05-13,Guinea,5697,49
2020-05-20,Guinea,6276,50
2020-05-27,Guinea,6747,53
2020-06-03,Guinea,7183,57
2020-06-10,Guinea,7575,59
2020-06-17,Guinea,8116,63
2020-06-24,Guinea,8792,63
2020-07-01,Guinea,9167,65
2020-07-08,Guinea,9479,66
2020-07-15,Guinea,9885,68
2020-07-22,Guinea,10154,70
2020-07-29,Guinea,10434,70
2020-08-05,Guinea,10652,71
2020-08-12,Guinea,10863,73
2020-08-19,Guinea,11188,74
2020-08-26,Guinea,11599,75
2020-09-02,Guinea,11819,76
2020-09-09,Guinea,12331,76
2020-09-16,Guinea,12516,79
2020-09-23,Guinea,12713,80
2020-09-30,Guinea,12929,80
2020-10-07,Guinea,13143,80
2020-10-14,Guinea,13325,81
2020-10-21,Guinea,13474,81
2020-10-28,Guinea,13598,81
2020-11-04,Guinea,13707,82
2020-11-11,Guinea,13845,83
2020-11-18,Guinea,14051,null
2020-11-25,Guinea,14207,null
2020-12-02,Guinea,14435,null
2020-12-09,Guinea,14555,null
2020-12-16,Guinea,null,null
2020-12-23,Guinea,null,null
2020-12-30,Guinea,null,null
2021-01-06,Guinea,null,null
2021-01-13,Guinea,null,null
2021-01-20,Guinea,null,null
2021-01-27,Guinea,null,null
2021-02-03,Guinea,null,null
2020-01-22,Liberia,2,4
2020-01-29,Liberia,3,6
2020-02-05,Liberia,6,8
2020-02-12,Liberia,31,16
2020-02-19,Liberia,59,20
2020-02-26,Liberia,101,20
2020-03-04,Liberia,141,23
2020-03-11,Liberia,178,27
2020-03-18,Liberia,213,28
2020-03-25,Liberia,238,31
2020-04-01,Liberia,266,33
2020-04-08,Liberia,316,34
2020-04-15,Liberia,397,37
2020-04-22,Liberia,516,41
2020-04-29,Liberia,662,51
2020-05-06,Liberia,804,70
2020-05-13,Liberia,926,72
2020-05-20,Liberia,1056,78
2020-05-27,Liberia,1114,82
2020-06-03,Liberia,1179,82
2020-06-10,Liberia,1221,82
2020-06-17,Liberia,1252,82
2020-06-24,Liberia,1282,82
2020-07-01,Liberia,1298,82
2020-07-08,Liberia,1305,82
2020-07-15,Liberia,1313,82
2020-07-22,Liberia,1332,82
2020-07-29,Liberia,1337,82
2020-08-05,Liberia,1343,82
2020-08-12,Liberia,1355,82
2020-08-19,Liberia,1372,82
2020-08-26,Liberia,1385,82
2020-09-02,Liberia,1419,82
2020-09-09,Liberia,1438,83
2020-09-16,Liberia,1461,83
2020-09-23,Liberia,1528,83
2020-09-30,Liberia,1578,83
2020-10-07,Liberia,1595,83
2020-10-14,Liberia,1676,83
2020-10-21,Liberia,1773,83
2020-10-28,Liberia,1779,84
2020-11-04,Liberia,1779,84
2020-11-11,Liberia,1779,84
2020-11-18,Liberia,1877,84
2020-11-25,Liberia,1901,null
