date,group,value
2016-17,Children,443414
2017-18,Children,491799
2018-19,Children,585656
2019-20,Children,724067
2020-21,Children,991334
2021-22,Children,832109
2016-17,Adults,757872
2017-18,Adults,862563
2018-19,Adults,1021044
2019-20,Adults,1185089
2020-21,Adults,1577263
2021-22,Adults,1341049
