region,value1,value2
North East,-2.87,-0.13
North West,-0.77,3.87
Yorkshire and Humbers,-0.21,1.52
East Midlands,0.48,4.24
West Midlands,0.89,4.76
East of England,2.00,2.91
London,4.84,3.95
South East,0.07,3.38
South West,1.98,3.75
Wales,0.51,2.93
Scotland,2.12,2.61
Northern Ireland,3.30,4.35
