Month,First National Loan,Second National Loan,Third National Loan,Fourth National Loan
1924m1,97.375,nul,nul,nul
1924m2,98.9375,nul,nul,nul
1924m3,97,nul,nul,nul
1924m4,92.5,nul,nul,nul
1924m5,92.875,nul,nul,nul
1924m6,92.875,nul,nul,nul
1924m7,94,nul,nul,nul
1924m8,93.125,nul,nul,nul
1924m9,90.5,nul,nul,nul
1924m10,92.375,nul,nul,nul
1924m11,92.625,nul,nul,nul
1924m12,92,nul,nul,nul
1925m1,94,nul,nul,nul
1925m2,94.25,nul,nul,nul
1925m3,96,nul,nul,nul
1925m4,93.75,nul,nul,nul
1925m5,92.5,nul,nul,nul
1925m6,93.75,nul,nul,nul
1925m7,95.5,nul,nul,nul
1925m8,95.375,nul,nul,nul
1925m9,95.5,nul,nul,nul
1925m10,95.375,nul,nul,nul
1925m11,95.5,nul,nul,nul
1925m12,97.5,nul,nul,nul
1926m1,97.25,nul,nul,nul
1926m2,98.25,nul,nul,nul
1926m3,98,nul,nul,nul
1926m4,96,nul,nul,nul
1926m5,99,nul,nul,nul
1926m6,97.5,nul,nul,nul
1926m7,98,nul,nul,nul
1926m8,99,nul,nul,nul
1926m9,99.75,nul,nul,nul
1926m10,99,nul,nul,nul
1926m11,99.25,nul,nul,nul
1926m12,99.75,nul,nul,nul
1927m1,100,nul,nul,nul
1927m2,99,nul,nul,nul
1927m3,100,nul,nul,nul
1927m4,100.5,nul,nul,nul
1927m5,98.5,nul,nul,nul
1927m6,97.5,nul,nul,nul
1927m7,96.5,nul,nul,nul
1927m8,96.875,nul,nul,nul
1927m9,96.5,nul,nul,nul
1927m10,96.5,nul,nul,nul
1927m11,97.375,nul,nul,nul
1927m12,98,nul,nul,nul
1928m1,99.75,99,nul,nul
1928m2,100,99.875,nul,nul
1928m3,102,98,nul,nul
1928m4,100.25,98,nul,nul
1928m5,99,98.125,nul,nul
1928m6,99,97.5,nul,nul
1928m7,99.75,98.5,nul,nul
1928m8,99.5,98.75,nul,nul
1928m9,100.5,97.5,nul,nul
1928m10,99.75,98.25,nul,nul
1928m11,99.5,98.25,nul,nul
1928m12,100,98,nul,nul
1929m1,100,98.5,nul,nul
1929m2,101.5,99.125,nul,nul
1929m3,99.5,97.375,nul,nul
1929m4,99.125,98.375,nul,nul
1929m5,98.25,97.75,nul,nul
1929m6,99,98.75,nul,nul
1929m7,99.5,99,nul,nul
1929m8,99.5,99.125,nul,nul
1929m9,100,97,nul,nul
1929m10,98,97.125,nul,nul
1929m11,98.125,97.375,nul,nul
1929m12,99,98.5,nul,nul
1930m1,101,99.875,nul,nul
1930m2,100,99.375,nul,nul
1930m3,101,98.25,nul,nul
1930m4,100.375,99.375,nul,nul
1930m5,101.125,100.5,nul,nul
1930m6,101.125,100.3125,93.6875,nul
1930m7,102,102.375,94,nul
1930m8,102.875,103.125,94.9375,nul
1930m9,103.5,101.25,93.875,nul
1930m10,103,103.0625,95.9375,nul
1930m11,103.25,104.25,98.5,nul
1930m12,102.75,104.25,98.375,nul
1931m1,103.375,105.5,100,nul
1931m2,104.5,105.375,100.125,nul
1931m3,105.5,104.375,100,nul
1931m4,104.25,105.875,100.75,nul
1931m5,103.75,107.75,103.875,nul
1931m6,107.5,108.875,102.625,nul
1931m7,103.5,104.625,100.75,nul
1931m8,102.625,104.3125,99.1875,nul
1931m9,100.25,103.5,93,nul
1931m10,100.25,103.875,96,nul
1931m11,101.25,103,94.75,nul
1931m12,101,100.75,91,nul
1932m1,100.5625,102,92,nul
1932m2,100.375,103,93,nul
1932m3,101,100.25,90,nul
1932m4,100,101.25,93,nul
1932m5,101.625,103.375,96,nul
1932m6,101.5,103.5,95.5,nul
1932m7,103,109.25,105,nul
1932m8,103.5,107.5,104.25,nul
1932m9,104,108.5,103.25,nul
1932m10,103.5,111.75,106.25,nul
1932m11,104,111.875,104.75,nul
1932m12,105,111.375,104.75,nul
1933m1,103.5,113.25,104.5,nul
1933m2,106,115.25,107.75,nul
1933m3,106,114.25,109,nul
1933m4,104,115,110.25,nul
1933m5,103,112.5,108.5,nul
1933m6,104.25,114.25,109,nul
1933m7,103.125,113,110.5,nul
1933m8,103.75,112.375,108.5,nul
1933m9,104,111,106.75,nul
1933m10,103.25,112,109.5,nul
1933m11,103,111,107.75,nul
1933m12,102.75,112.75,107.5,98
1934m1,103,112,107.5,98.25
1934m2,103,112.5,107.75,98.75
1934m3,103.125,110,106,99
1934m4,101,111.5,105.625,99
1934m5,102.25,111.25,106,98.75
1934m6,102.5,112.5,107,99
1934m7,102.625,112.5,107.875,97
1934m8,102.875,112.75,107.75,96.5
1934m9,102.5,110.5,105.5,96.875
1934m10,101,113,108.5,97.5
1934m11,101,113,108.25,97.75
1934m12,101.125,113.4375,109,98
1935m1,101.625,114.5,109.5,97.5
1935m2,101.625,115,109.75,98
1935m3,101.75,113.625,107.75,97.875
1935m4,100.5,114.5,107.625,97.75
1935m5,100.5,115.5,108,98
1935m6,100.625,116.5,110,98
1935m7,100.875,116.625,110.25,98
1935m8,101,116.75,110.25,98
1935m9,101.25,111.5,107.75,97.5
