region,value
North East,-0.17
North West,-0.19
Yorkshire & The Humber,-0.19
East Midlands,-0.19
West Midlands,-0.20
East of England,-0.21
London,-0.17
South East,-0.21
South West,-0.19
England,-0.19
Wales,-0.15
Scotland,-0.19
NI,-0.16
