country,value
Lebanon,396
Zimbabwe,75.1
Sri Lanka,30.2
Burkina Faso,17.8
Ghana,17.4
Nigeria,17.11
Zambia,15.3
Pakistan,15.3
Somalia,12.65
Global,12.6
Cape Verde,11.61
