date,metric,value
1977-04-30,Housing transactions,103718
1977-05-31,Housing transactions,111956
1977-06-30,Housing transactions,107997
1977-07-31,Housing transactions,109626
1977-08-31,Housing transactions,113461
1977-09-30,Housing transactions,119643
1977-10-31,Housing transactions,110757
1977-11-30,Housing transactions,118421
1977-12-31,Housing transactions,123235
1978-01-31,Housing transactions,120566
1978-02-28,Housing transactions,124835
1978-03-31,Housing transactions,126854
1978-04-30,Housing transactions,126765
1978-05-31,Housing transactions,127872
1978-06-30,Housing transactions,122929
1978-07-31,Housing transactions,120479
1978-08-31,Housing transactions,123881
1978-09-30,Housing transactions,112889
1978-10-31,Housing transactions,112530
1978-11-30,Housing transactions,120990
1978-12-31,Housing transactions,106238
1979-01-31,Housing transactions,113393
1979-02-28,Housing transactions,116676
1979-03-31,Housing transactions,114729
1979-04-30,Housing transactions,92630
1979-05-31,Housing transactions,130803
1979-06-30,Housing transactions,115089
1979-07-31,Housing transactions,113850
1979-08-31,Housing transactions,117728
1979-09-30,Housing transactions,121423
1979-10-31,Housing transactions,125077
1979-11-30,Housing transactions,114577
1979-12-31,Housing transactions,105463
1980-01-31,Housing transactions,121928
1980-02-29,Housing transactions,119245
1980-03-31,Housing transactions,111422
1980-04-30,Housing transactions,134722
1980-05-31,Housing transactions,107920
1980-06-30,Housing transactions,110257
1980-07-31,Housing transactions,112626
1980-08-31,Housing transactions,95282
1980-09-30,Housing transactions,107397
1980-10-31,Housing transactions,111712
1980-11-30,Housing transactions,99066
1980-12-31,Housing transactions,113416
1981-01-31,Housing transactions,105739
1981-02-28,Housing transactions,107190
1981-03-31,Housing transactions,112354
1981-04-30,Housing transactions,116470
1981-05-31,Housing transactions,115616
1981-06-30,Housing transactions,121899
1981-07-31,Housing transactions,118141
1981-08-31,Housing transactions,118407
1981-09-30,Housing transactions,121766
1981-10-31,Housing transactions,124428
1981-11-30,Housing transactions,133053
1981-12-31,Housing transactions,131841
1982-01-31,Housing transactions,112665
1982-02-28,Housing transactions,120857
1982-03-31,Housing transactions,131091
1982-04-30,Housing transactions,133418
1982-05-31,Housing transactions,129626
1982-06-30,Housing transactions,136321
1982-07-31,Housing transactions,147882
1982-08-31,Housing transactions,139028
1982-09-30,Housing transactions,144900
1982-10-31,Housing transactions,135890
1982-11-30,Housing transactions,150233
1982-12-31,Housing transactions,150362
1983-01-31,Housing transactions,134725
1983-02-28,Housing transactions,149623
1983-03-31,Housing transactions,173206
1983-04-30,Housing transactions,147327
1983-05-31,Housing transactions,151327
1983-06-30,Housing transactions,148987
1983-07-31,Housing transactions,137510
1983-08-31,Housing transactions,150498
1983-09-30,Housing transactions,148362
1983-10-31,Housing transactions,141477
1983-11-30,Housing transactions,144073
1983-12-31,Housing transactions,147228
1984-01-31,Housing transactions,153335
1984-02-29,Housing transactions,163641
1984-03-31,Housing transactions,163295
1984-04-30,Housing transactions,148618
1984-05-31,Housing transactions,159577
1984-06-30,Housing transactions,159593
1984-07-31,Housing transactions,153257
1984-08-31,Housing transactions,160133
1984-09-30,Housing transactions,144683
1984-10-31,Housing transactions,158207
1984-11-30,Housing transactions,159271
1984-12-31,Housing transactions,143351
1985-01-31,Housing transactions,155726
1985-02-28,Housing transactions,153463
1985-03-31,Housing transactions,147785
1985-04-30,Housing transactions,164689
1985-05-31,Housing transactions,165682
1985-06-30,Housing transactions,148716
1985-07-31,Housing transactions,158996
1985-08-31,Housing transactions,154325
1985-09-30,Housing transactions,148499
1985-10-31,Housing transactions,153487
1985-11-30,Housing transactions,148069
1985-12-31,Housing transactions,149928
1986-01-31,Housing transactions,162235
1986-02-28,Housing transactions,152750
1986-03-31,Housing transactions,128124
1986-04-30,Housing transactions,161467
1986-05-31,Housing transactions,148763
1986-06-30,Housing transactions,150758
1986-07-31,Housing transactions,165878
1986-08-31,Housing transactions,157546
1986-09-30,Housing transactions,174081
1986-10-31,Housing transactions,173179
1986-11-30,Housing transactions,157769
1986-12-31,Housing transactions,172071
1987-01-31,Housing transactions,163676
1987-02-28,Housing transactions,160290
1987-03-31,Housing transactions,166426
1987-04-30,Housing transactions,155249
1987-05-31,Housing transactions,154821
1987-06-30,Housing transactions,170856
1987-07-31,Housing transactions,185361
1987-08-31,Housing transactions,167800
1987-09-30,Housing transactions,176135
1987-10-31,Housing transactions,175855
1987-11-30,Housing transactions,176547
1987-12-31,Housing transactions,192638
1988-01-31,Housing transactions,177257
1988-02-29,Housing transactions,193021
1988-03-31,Housing transactions,191517
1988-04-30,Housing transactions,174032
1988-05-31,Housing transactions,188978
1988-06-30,Housing transactions,198695
1988-07-31,Housing transactions,195095
1988-08-31,Housing transactions,221978
1988-09-30,Housing transactions,194646
1988-10-31,Housing transactions,182121
1988-11-30,Housing transactions,182970
1988-12-31,Housing transactions,167652
1989-01-31,Housing transactions,162790
1989-02-28,Housing transactions,159457
1989-03-31,Housing transactions,148577
1989-04-30,Housing transactions,148463
1989-05-31,Housing transactions,148446
1989-06-30,Housing transactions,145916
1989-07-31,Housing transactions,128263
1989-08-31,Housing transactions,133535
1989-09-30,Housing transactions,127727
1989-10-31,Housing transactions,128327
1989-11-30,Housing transactions,135015
1989-12-31,Housing transactions,123325
1990-01-31,Housing transactions,137095
1990-02-28,Housing transactions,130344
1990-03-31,Housing transactions,135179
1990-04-30,Housing transactions,134767
1990-05-31,Housing transactions,135989
1990-06-30,Housing transactions,121826
1990-07-31,Housing transactions,119924
1990-08-31,Housing transactions,116016
1990-09-30,Housing transactions,110457
1990-10-31,Housing transactions,116264
1990-11-30,Housing transactions,122522
1990-12-31,Housing transactions,116691
1991-01-31,Housing transactions,135377
1991-02-28,Housing transactions,121925
1991-03-31,Housing transactions,110616
1991-04-30,Housing transactions,122628
1991-05-31,Housing transactions,121651
1991-06-30,Housing transactions,111045
1991-07-31,Housing transactions,126547
1991-08-31,Housing transactions,109394
1991-09-30,Housing transactions,112003
1991-10-31,Housing transactions,115592
1991-11-30,Housing transactions,99890
1991-12-31,Housing transactions,111821
1992-01-31,Housing transactions,86863
1992-02-29,Housing transactions,98480
1992-03-31,Housing transactions,97193
1992-04-30,Housing transactions,99316
1992-05-31,Housing transactions,93087
1992-06-30,Housing transactions,100785
1992-07-31,Housing transactions,105552
1992-08-31,Housing transactions,116037
1992-09-30,Housing transactions,140041
1992-10-31,Housing transactions,101188
1992-11-30,Housing transactions,81345
1992-12-31,Housing transactions,97441
1993-01-31,Housing transactions,85379
1993-02-28,Housing transactions,95692
1993-03-31,Housing transactions,102917
1993-04-30,Housing transactions,101722
1993-05-31,Housing transactions,100319
1993-06-30,Housing transactions,109906
1993-07-31,Housing transactions,111541
1993-08-31,Housing transactions,108973
1993-09-30,Housing transactions,116721
1993-10-31,Housing transactions,109164
1993-11-30,Housing transactions,117022
1993-12-31,Housing transactions,119921
1994-01-31,Housing transactions,116480
1994-02-28,Housing transactions,116532
1994-03-31,Housing transactions,118857
1994-04-30,Housing transactions,113819
1994-05-31,Housing transactions,114636
1994-06-30,Housing transactions,118194
1994-07-31,Housing transactions,109387
1994-08-31,Housing transactions,116503
1994-09-30,Housing transactions,111802
1994-10-31,Housing transactions,108729
1994-11-30,Housing transactions,114785
1994-12-31,Housing transactions,111774
1995-01-31,Housing transactions,113002
1995-02-28,Housing transactions,113249
1995-03-31,Housing transactions,109685
1995-04-30,Housing transactions,101343
1995-05-31,Housing transactions,108561
1995-06-30,Housing transactions,104580
1995-07-31,Housing transactions,99836
1995-08-31,Housing transactions,99787
1995-09-30,Housing transactions,96566
1995-10-31,Housing transactions,97647
1995-11-30,Housing transactions,99288
1995-12-31,Housing transactions,89959
1996-01-31,Housing transactions,113200
1996-02-29,Housing transactions,103763
1996-03-31,Housing transactions,90025
1996-04-30,Housing transactions,106478
1996-05-31,Housing transactions,110438
1996-06-30,Housing transactions,102059
1996-07-31,Housing transactions,111601
1996-08-31,Housing transactions,109162
1996-09-30,Housing transactions,110496
1996-10-31,Housing transactions,125506
1996-11-30,Housing transactions,123362
1996-12-31,Housing transactions,124017
1997-01-31,Housing transactions,142396
1997-02-28,Housing transactions,125625
1997-03-31,Housing transactions,108603
1997-04-30,Housing transactions,136310
1997-05-31,Housing transactions,126822
1997-06-30,Housing transactions,125714
1997-07-31,Housing transactions,130859
1997-08-31,Housing transactions,107583
1997-09-30,Housing transactions,140889
1997-10-31,Housing transactions,135904
1997-11-30,Housing transactions,123815
1997-12-31,Housing transactions,132910
1998-01-31,Housing transactions,125549
1998-02-28,Housing transactions,120242
1998-03-31,Housing transactions,121772
1998-04-30,Housing transactions,119236
1998-05-31,Housing transactions,108145
1998-06-30,Housing transactions,124157
1998-07-31,Housing transactions,123333
1998-08-31,Housing transactions,117685
1998-09-30,Housing transactions,127083
1998-10-31,Housing transactions,115715
1998-11-30,Housing transactions,113467
1998-12-31,Housing transactions,123538
1999-01-31,Housing transactions,118126
1999-02-28,Housing transactions,122367
1999-03-31,Housing transactions,124954
1999-04-30,Housing transactions,128666
1999-05-31,Housing transactions,119025
1999-06-30,Housing transactions,131754
1999-07-31,Housing transactions,135248
1999-08-31,Housing transactions,130844
1999-09-30,Housing transactions,140135
1999-10-31,Housing transactions,130910
1999-11-30,Housing transactions,145477
1999-12-31,Housing transactions,141718
2000-01-31,Housing transactions,140932
2000-02-29,Housing transactions,142360
2000-03-31,Housing transactions,139008
2000-04-30,Housing transactions,113289
2000-05-31,Housing transactions,134914
2000-06-30,Housing transactions,133767
2000-07-31,Housing transactions,122706
2000-08-31,Housing transactions,128637
2000-09-30,Housing transactions,118560
2000-10-31,Housing transactions,122139
2000-11-30,Housing transactions,122989
2000-12-31,Housing transactions,115063
2001-01-31,Housing transactions,126919
2001-02-28,Housing transactions,123950
2001-03-31,Housing transactions,122879
2001-04-30,Housing transactions,119136
2001-05-31,Housing transactions,133702
2001-06-30,Housing transactions,130041
2001-07-31,Housing transactions,127742
2001-08-31,Housing transactions,132823
2001-09-30,Housing transactions,125751
2001-10-31,Housing transactions,137608
2001-11-30,Housing transactions,145288
2001-12-31,Housing transactions,126545
2002-01-31,Housing transactions,136177
2002-02-28,Housing transactions,132422
2002-03-31,Housing transactions,120120
2002-04-30,Housing transactions,149437
2002-05-31,Housing transactions,148816
2002-06-30,Housing transactions,133666
2002-07-31,Housing transactions,145572
2002-08-31,Housing transactions,158446
2002-09-30,Housing transactions,142137
