Year,Country,Life expectancy (years)
1962,Greece,70.25497561
1963,Greece,70.61053659
1964,Greece,70.56939024
1965,Greece,71.42831707
1966,Greece,71.75270732
1967,Greece,71.29878049
1968,Greece,71.43019512
1969,Greece,72.00434146
1970,Greece,72.77080488
1971,Greece,73.00956098
1972,Greece,72.78268293
1973,Greece,72.98197561
1974,Greece,73.41558537
1975,Greece,73.37636585
1976,Greece,73.634
1977,Greece,73.67080488
1978,Greece,74.3587561
1979,Greece,74.62107317
1980,Greece,74.54626829
1981,Greece,74.95743902
1982,Greece,75.25053659
1983,Greece,75.51773171
1984,Greece,75.77439024
1985,Greece,76.08290244
1986,Greece,76.48265854
1987,Greece,76.27985366
1988,Greece,76.9807561
1989,Greece,76.68780488
1990,Greece,76.93902439
1991,Greece,77.13658537
1992,Greece,77.38292683
1993,Greece,77.3902439
1994,Greece,77.63902439
1995,Greece,77.58536585
1996,Greece,77.68536585
1997,Greece,78.13658537
1998,Greece,77.83902439
1999,Greece,77.98780488
2000,Greece,77.88780488
2001,Greece,78.38780488
2002,Greece,78.64146341
2003,Greece,78.84146341
2004,Greece,79.03902439
2005,Greece,79.23902439
2006,Greece,79.43902439
2007,Greece,79.43902439
2008,Greece,79.93902439
2009,Greece,80.18780488
2010,Greece,80.38780488
2011,Greece,80.73170732
2012,Greece,80.63414634
2013,Greece,81.28536585
2014,Greece,81.38536585
2015,Greece,81.03658537
2016,Greece,81.38780488
2017,Greece,81.28780488
2018,Greece,81.78780488
2019,Greece,81.63902439
2020,Greece,81.28780488
2021,Greece,80.08292683
2022,Greece,80.63658537
1962,Spain,69.51902439
1963,Spain,69.68121951
1964,Spain,70.3997561
1965,Spain,70.80926829
1966,Spain,71.05512195
1967,Spain,71.25292683
1968,Spain,71.53780488
1969,Spain,71.05756098
1970,Spain,72.02731707
1971,Spain,71.6302439
1972,Spain,72.81804878
1973,Spain,72.61073171
1974,Spain,72.9697561
1975,Spain,73.31878049
1976,Spain,73.64268293
1977,Spain,74.13195122
1978,Spain,74.29560976
1979,Spain,74.81878049
1980,Spain,75.34926829
1981,Spain,75.52853659
1982,Spain,76.13414634
1983,Spain,75.90902439
1984,Spain,76.29536585
1985,Spain,76.2595122
1986,Spain,76.5104878
1987,Spain,76.72804878
1988,Spain,76.74707317
1989,Spain,76.81365854
1990,Spain,76.83756098
1991,Spain,76.97121951
1992,Spain,77.41
1993,Spain,77.54658537
1994,Spain,77.90146341
1995,Spain,77.98073171
1996,Spain,78.1204878
1997,Spain,78.60414634
1998,Spain,78.66585366
1999,Spain,78.71707317
2000,Spain,78.96585366
2001,Spain,79.36829268
2002,Spain,79.56829268
2003,Spain,79.6195122
2004,Spain,79.87073171
2005,Spain,80.17073171
2006,Spain,80.82195122
2007,Spain,80.87317073
2008,Spain,81.17560976
2009,Spain,81.47560976
2010,Spain,81.62682927
2011,Spain,82.47560976
2012,Spain,82.42682927
2013,Spain,83.07804878
2014,Spain,83.22926829
2015,Spain,82.83170732
2016,Spain,83.32926829
2017,Spain,83.28292683
2018,Spain,83.43170732
2019,Spain,83.83170732
2020,Spain,82.33170732
2021,Spain,83.22926829
2022,Spain,83.08292683
