date,item,value,value2
2021-01-01,Sunflower oil,1276,100
2021-02-01,Sunflower oil,1363,107
2021-03-01,Sunflower oil,1611,126
2021-04-01,Sunflower oil,1573,123
2021-05-01,Sunflower oil,1585,124
2021-06-01,Sunflower oil,1297,102
2021-07-01,Sunflower oil,1282,100
2021-08-01,Sunflower oil,1356,106
2021-09-01,Sunflower oil,1310,103
2021-10-01,Sunflower oil,1421,111
2021-11-01,Sunflower oil,1416,111
2021-12-01,Sunflower oil,1362,107
2022-01-01,Sunflower oil,1412,111
2022-02-01,Sunflower oil,1499,117
2022-03-01,Sunflower oil,2361,185
2022-04-01,Sunflower oil,2276,178
2022-05-01,Sunflower oil,2079,163
2021-01-01,Maize,234,100
2021-02-01,Maize,245,105
2021-03-01,Maize,245,105
2021-04-01,Maize,268,115
2021-05-01,Maize,305,130
2021-06-01,Maize,293,125
2021-07-01,Maize,278,119
2021-08-01,Maize,257,110
2021-09-01,Maize,236,101
2021-10-01,Maize,240,102
2021-11-01,Maize,249,106
2021-12-01,Maize,265,113
2022-01-01,Maize,277,118
2022-02-01,Maize,293,125
2022-03-01,Maize,336,143
2022-04-01,Maize,348,149
2022-05-01,Maize,345,147
2021-01-01,Wheat,289,100
2021-02-01,Wheat,289,100
2021-03-01,Wheat,273,95
2021-04-01,Wheat,281,97
2021-05-01,Wheat,297,103
2021-06-01,Wheat,286,99
2021-07-01,Wheat,294,102
2021-08-01,Wheat,325,112
2021-09-01,Wheat,338,117
2021-10-01,Wheat,355,123
2021-11-01,Wheat,379,131
2021-12-01,Wheat,377,130
2022-01-01,Wheat,374,129
2022-02-01,Wheat,391,135
2022-03-01,Wheat,486,168
2022-04-01,Wheat,495,171
2022-05-01,Wheat,522,181
2021-01-01,Potassium chloride,203,100
2021-02-01,Potassium chloride,203,100
2021-03-01,Potassium chloride,203,100
2021-04-01,Potassium chloride,203,100
2021-05-01,Potassium chloride,203,100
2021-06-01,Potassium chloride,203,100
2021-07-01,Potassium chloride,203,100
2021-08-01,Potassium chloride,221,109
2021-09-01,Potassium chloride,221,109
2021-10-01,Potassium chloride,221,109
2021-11-01,Potassium chloride,221,109
2021-12-01,Potassium chloride,221,109
2022-01-01,Potassium chloride,221,109
2022-02-01,Potassium chloride,392,193
2022-03-01,Potassium chloride,563,277
2022-04-01,Potassium chloride,563,277
2022-05-01,Potassium chloride,563,277
2021-01-01,Urea,265,100
2021-02-01,Urea,335,126
2021-03-01,Urea,353,133
2021-04-01,Urea,328,124
2021-05-01,Urea,332,125
2021-06-01,Urea,393,148
2021-07-01,Urea,442,167
2021-08-01,Urea,447,169
2021-09-01,Urea,419,158
2021-10-01,Urea,695,262
2021-11-01,Urea,901,340
2021-12-01,Urea,890,336
2022-01-01,Urea,846,319
2022-02-01,Urea,744,281
2022-03-01,Urea,873,329
2022-04-01,Urea,925,349
2022-05-01,Urea,708,267
