Quarter,Measure,Rate,,REMAIN
2007-04-01,Actual rate,1.121016,,
2007-07-01,Actual rate,1.120717,,
2007-10-01,Actual rate,0.9821209,,
2008-01-01,Actual rate,0.872519,,
2008-04-01,Actual rate,1.108974,,
2008-07-01,Actual rate,1.053703,,
2008-10-01,Actual rate,0.9786281,,
2009-01-01,Actual rate,1.004218,,
2009-04-01,Actual rate,1.110069,,
2009-07-01,Actual rate,1.085976,,
2009-10-01,Actual rate,1.029267,,
2010-01-01,Actual rate,0.8990375,,
2010-04-01,Actual rate,1.043406,,
2010-07-01,Actual rate,0.9739814,,
2010-10-01,Actual rate,0.8214792,,
2011-01-01,Actual rate,0.7268112,,
2011-04-01,Actual rate,0.8466583,,
2011-07-01,Actual rate,0.8640376,,
2011-10-01,Actual rate,0.8654858,,
2012-01-01,Actual rate,0.8311138,,
2012-04-01,Actual rate,0.9503308,,
2012-07-01,Actual rate,0.9731434,,
2012-10-01,Actual rate,0.8316478,,
2013-01-01,Actual rate,0.6972541,,
2013-04-01,Actual rate,0.9009656,,
2013-07-01,Actual rate,0.9581879,,
2013-10-01,Actual rate,0.85576,,
2014-01-01,Actual rate,0.8426679,,
2014-04-01,Actual rate,1.046311,,
2014-07-01,Actual rate,1.273795,,
2014-10-01,Actual rate,1.159626,,
2015-01-01,Actual rate,1.172242,,
2015-04-01,Actual rate,1.325069,,
2015-07-01,Actual rate,1.315219,,
2015-10-01,Actual rate,1.358562,,
2016-01-01,Actual rate,1.171801,,
2016-04-01,Actual rate,1.309185,,
2016-07-01,Actual rate,1.634948,,
2016-10-01,Actual rate,1.340674,,
2017-01-01,Actual rate,1.309994,,
2007-04-01,Synthetic rate,1.06278,,
2007-07-01,Synthetic rate,1.101218,,
2007-10-01,Synthetic rate,0.9650124,,
2008-01-01,Synthetic rate,0.9332261,,
2008-04-01,Synthetic rate,1.017217,,
2008-07-01,Synthetic rate,1.043795,,
2008-10-01,Synthetic rate,0.9402531,,
2009-01-01,Synthetic rate,0.8792992,,
2009-04-01,Synthetic rate,1.083594,,
2009-07-01,Synthetic rate,1.080192,,
2009-10-01,Synthetic rate,0.9594524,,
2010-01-01,Synthetic rate,0.8623823,,
2010-04-01,Synthetic rate,1.055389,,
2010-07-01,Synthetic rate,1.038947,,
2010-10-01,Synthetic rate,0.8658864,,
2011-01-01,Synthetic rate,0.8584229,,
2011-04-01,Synthetic rate,1.007234,,
2011-07-01,Synthetic rate,0.9576955,,
2011-10-01,Synthetic rate,0.8903464,,
2012-01-01,Synthetic rate,0.7956218,,
2012-04-01,Synthetic rate,0.8534145,,
2012-07-01,Synthetic rate,0.894202,,
2012-10-01,Synthetic rate,0.9194016,,
2013-01-01,Synthetic rate,0.7758051,,
2013-04-01,Synthetic rate,0.8865417,,
2013-07-01,Synthetic rate,0.9973173,,
2013-10-01,Synthetic rate,0.9006314,,
2014-01-01,Synthetic rate,0.8612688,,
2014-04-01,Synthetic rate,1.052118,,
2014-07-01,Synthetic rate,1.261075,,
2014-10-01,Synthetic rate,1.18126,,
2015-01-01,Synthetic rate,1.15556,,
2015-04-01,Synthetic rate,1.307967,,
2015-07-01,Synthetic rate,1.294395,,
2015-10-01,Synthetic rate,1.296079,,
2016-01-01,Synthetic rate,1.240114,,
2016-04-01,Synthetic rate,1.34928,,
2016-07-01,Synthetic rate,1.422444,,
2016-10-01,Synthetic rate,1.39406,,
2017-01-01,Synthetic rate,1.458191,,
