Tech company,Percent
S&P 500,31
NYSE Fang+ Index,110
Tesla,671
SPDR Kensho Clean Power ETF,123
FTSE 100,-6
FTSE techMark All-Share,5
SPDR MSCI Europe Tech ETF,29
