Region,Percentage
East Midlands,28
North East,28
East of England,29
West Midlands,31
North West,31
Wales,31
Yorkshire and Humberside,32
South West,33
United Kingdom,34
South East,34
Scotland,34
Northern Ireland,37
London,47
