Sector,Imports or exports,% change
Food & live animals,Exports,-54%
Beverages & tobacco,Exports,-40%
Crude Materials,Exports,-23%
Fuels,Exports,-53%
Chemicals,Exports,-41%
Material manufactures,Exports,-29%
Machinery & transport equipment,Exports,-34%
Miscellaneous manufactures,Exports,-37%
Food & live animals,Imports,-15%
Beverages & tobacco,Imports,-5%
Crude Materials,Imports,4%
Fuels,Imports,-9%
Chemicals,Imports,-16%
Material manufactures,Imports,-14%
Machinery & transport equipment,Imports,-15%
Miscellaneous manufactures,Imports,-26%
