Country,Value,Measure
England,27949,GVA per head
Scotland,25685,GVA per head
Wales,19705,GVA per head
Northern Ireland,21237,GVA per head
England,75.57836233,Employment Rate
Scotland,74.39875558,Employment Rate
Wales,72.42569094,Employment Rate
Northern Ireland,70.58474608,Employment Rate
