group,metric,value
Age 1,Mean weekly cost,122.13
Age 1,Median weekly cost,92
Age 2,Mean weekly cost,79.45
Age 2,Median weekly cost,42
Ages 3-4,Mean weekly cost,37.17
Ages 3-4,Median weekly cost,3.94
