country,value
Finland,53.210
Bulgaria,64.955
Denmark,71.275
Poland,81.495
Austria,184.175
Netherlands,198.445
Belgium,203.825
Hungary,211.625
Spain,245.145
Greece,281.585
UK,383.575
Sweden,469.160
Italy,611.210
France,723.840
Germany,2014.555
