Period,Type,Value
Oct to Dec 2012,Total pay,-1
Nov to Jan 2013,Total pay,-1
Dec to Feb 2013,Total pay,-1.1
Jan to Mar 2013,Total pay,-1.7
Feb to Apr 2013,Total pay,-1
Mar to May 2013,Total pay,-0.9
Apr to Jun 2013,Total pay,-0.4
May to Jul 2013,Total pay,-1.3
Jun to Aug 2013,Total pay,-1.6
Jul to Sep 2013,Total pay,-1.6
Aug to Oct 2013,Total pay,-1.4
Sep to Nov 2013,Total pay,-1.2
Oct to Dec 2013,Total pay,-0.9
Nov to Jan 2014,Total pay,-0.6
Dec to Feb 2014,Total pay,-0.1
Jan to Mar 2014,Total pay,0
Feb to Apr 2014,Total pay,-1
Mar to May 2014,Total pay,-1.6
Apr to Jun 2014,Total pay,-1.7
May to Jul 2014,Total pay,-1.2
Jun to Aug 2014,Total pay,-1
Jul to Sep 2014,Total pay,-0.6
Aug to Oct 2014,Total pay,0
Sep to Nov 2014,Total pay,0.5
Oct to Dec 2014,Total pay,1
Nov to Jan 2015,Total pay,1.1
Dec to Feb 2015,Total pay,1.2
Jan to Mar 2015,Total pay,1.9
Feb to Apr 2015,Total pay,2.3
Mar to May 2015,Total pay,2.7
Apr to Jun 2015,Total pay,2.1
May to Jul 2015,Total pay,2.4
Jun to Aug 2015,Total pay,2.6
Jul to Sep 2015,Total pay,2.6
Aug to Oct 2015,Total pay,2.1
Sep to Nov 2015,Total pay,1.7
Oct to Dec 2015,Total pay,1.5
Nov to Jan 2016,Total pay,1.6
Dec to Feb 2016,Total pay,1.4
Jan to Mar 2016,Total pay,1.5
Feb to Apr 2016,Total pay,1.4
Mar to May 2016,Total pay,1.7
Apr to Jun 2016,Total pay,1.7
May to Jul 2016,Total pay,1.7
Jun to Aug 2016,Total pay,1.5
Jul to Sep 2016,Total pay,1.4
Aug to Oct 2016,Total pay,1.3
Sep to Nov 2016,Total pay,1.3
Oct to Dec 2016,Total pay,0.9
Nov to Jan 2017,Total pay,0.4
Dec to Feb 2017,Total pay,0.1
Jan to Mar 2017,Total pay,0
Feb to Apr 2017,Total pay,-0.2
Mar to May 2017,Total pay,-0.5
Apr to Jun 2017,Total pay,-0.3
May to Jul 2017,Total pay,-0.4
Jun to Aug 2017,Total pay,-0.3
Jul to Sep 2017,Total pay,-0.4
Aug to Oct 2017,Total pay,-0.2
Sep to Nov 2017,Total pay,-0.3
Oct to Dec 2017,Total pay,-0.2
Nov to Jan 2018,Total pay,-0.1
Dec to Feb 2018,Total pay,0.2
Jan to Mar 2018,Total pay,0.3
Feb to Apr 2018,Total pay,0.4
Mar to May 2018,Total pay,0.4
Apr to Jun 2018,Total pay,0
May to Jul 2018,Total pay,0.3
Jun to Aug 2018,Total pay,0.5
Jul to Sep 2018,Total pay,0.8
Aug to Oct 2018,Total pay,1.1
Sep to Nov 2018,Total pay,1.2
Oct to Dec 2018,Total pay,1.4
Nov to Jan 2019,Total pay,1.4
Dec to Feb 2019,Total pay,1.6
Jan to Mar 2019,Total pay,1.4
Feb to Apr 2019,Total pay,1.4
Mar to May 2019,Total pay,1.5
Apr to Jun 2019,Total pay,2
May to Jul 2019,Total pay,2
Jun to Aug 2019,Total pay,1.8
Jul to Sep 2019,Total pay,2
Aug to Oct 2019,Total pay,1.6
Sep to Nov 2019,Total pay,1.6
Oct to Dec 2019,Total pay,1.3
Nov to Jan 2020,Total pay,1.4
Dec to Feb 2020,Total pay,1.2
Jan to Mar 2020,Total pay,0.7
Feb to Apr 2020,Total pay,-0.4
Mar to May 2020,Total pay,-1.4
Apr to Jun 2020,Total pay,-2.1
May to Jul 2020,Total pay,-1.8
Jun to Aug 2020,Total pay,-0.7
Jul to Sep 2020,Total pay,0.5
Aug to Oct 2020,Total pay,2
Sep to Nov 2020,Total pay,3
Oct to Dec 2020,Total pay,3.9
Nov to Jan 2021,Total pay,4.1
Dec to Feb 2021,Total pay,3.7
Jan to Mar 2021,Total pay,3.3
Feb to Apr 2021,Total pay,4.6
Mar to May 2021,Total pay,5.9
Apr to Jun 2021,Total pay,7.1
May to Jul 2021,Total pay,6.3
Jun to Aug 2021,Total pay,4.8
Jul to Sept 2021,Total pay,3.4
Aug to Oct 2021,Total pay,1.8
