date,value
1987,4440
1988,4752
1989,5345
1990,5639
1991,5233
1992,4393
1993,5447
1994,6267
1995,7232
1996,9702
1997,11732
1998,9448
1999,12219
2000,13995
2001,15641
2002,15267
2003,17137
2004,19419
2005,23922
2006,30007
2007,39308
2008,39482
2009,41493
2010,41238
2011,47035
2012,45288
2013,45193
2014,40417
2015,41719
2016,45928
2017,47654
2018,48894
2019,45856
2020,47928
2021,44709
