Month,EU or non,Goods imported
2019-01-01,EU,22989
2019-02-01,EU,23448
2019-03-01,EU,25180
2019-04-01,EU,22125
2019-05-01,EU,22313
2019-06-01,EU,22237
2019-07-01,EU,22325
2019-08-01,EU,22133
2019-09-01,EU,22199
2019-10-01,EU,22961
2019-11-01,EU,20037
2019-12-01,EU,19947
2020-01-01,EU,19241
2020-02-01,EU,19066
2020-03-01,EU,18582
2020-04-01,EU,14201
2020-05-01,EU,14713
2020-06-01,EU,17455
2020-07-01,EU,18781
2020-08-01,EU,18717
2020-09-01,EU,19794
2020-10-01,EU,20428
2020-11-01,EU,22165
2020-12-01,EU,22780
2021-01-01,EU,16208
2019-01-01,Non-EU,19296
2019-02-01,Non-EU,18344
2019-03-01,Non-EU,18875
2019-04-01,Non-EU,18060
2019-05-01,Non-EU,19176
2019-06-01,Non-EU,17744
2019-07-01,Non-EU,18808
2019-08-01,Non-EU,18650
2019-09-01,Non-EU,18002
2019-10-01,Non-EU,19031
2019-11-01,Non-EU,17082
2019-12-01,Non-EU,17090
2020-01-01,Non-EU,17785
2020-02-01,Non-EU,17032
2020-03-01,Non-EU,16561
2020-04-01,Non-EU,13844
2020-05-01,Non-EU,12691
2020-06-01,Non-EU,14989
2020-07-01,Non-EU,15761
2020-08-01,Non-EU,15347
2020-09-01,Non-EU,17497
2020-10-01,Non-EU,17572
2020-11-01,Non-EU,18428
2020-12-01,Non-EU,18489
2021-01-01,Non-EU,16135
