Person,Period,Hours
Lone mother,April,-26.59119
Lone mother,May,-25.28532
Lone mother,June,-19.45454
Lone mother,July,-18.16957
Lone mother,September,-23.76142
Lone mother,November,-25.23818
Father (couple),April,-28.64593
Father (couple),May,-26.19797
Father (couple),June,-22.87907
Father (couple),July,-22.02771
Father (couple),September,-14.50711
Father (couple),November,-17.12299
Mother (couple),April,-21.38555
Mother (couple),May,-20.72674
Mother (couple),June,-19.19508
Mother (couple),July,-20.3124
Mother (couple),September,-15.38887
Mother (couple),November,-18.40326
,,
