Trade Destination,Trade type,Value
GB,Total,13.4
GB,Goods,10.4
GB,Services,3
Rep. of Ireland,Total,2.8
Rep. of Ireland,Goods,2.4
Rep. of Ireland,Services,0.4
Rest of EU,Total,2.6
Rest of EU,Goods,2.4
Rest of EU,Services,0.2
Rest of World,Total,2.4
Rest of World,Goods,2.1
Rest of World,Services,0.3
