Date,Age group,Value (%),Detail
2020-04-01,18-59,1.67,UK
2020-05-01,18-59,2.11,
2020-07-01,18-59,2.39,
2020-09-01,18-59,0.91,
2021-01-01,18-59,1.42,
2020-04-01,60+,0.99,
2020-05-01,60+,2.32,
2020-07-01,60+,0.79,
2020-09-01,60+,0.63,
2021-01-01,60+,0.84,
