Date,Index
2020-01-02,7604.3
2020-01-03,7622.4
2020-01-06,7575.34
2020-01-07,7573.85
2020-01-08,7574.93
2020-01-09,7598.12
2020-01-10,7587.85
2020-01-13,7617.6
2020-01-14,7622.35
2020-01-15,7642.8
2020-01-16,7609.81
2020-01-17,7674.56
2020-01-20,7651.44
2020-01-21,7610.7
2020-01-22,7571.92
2020-01-23,7507.67
2020-01-24,7585.98
2020-01-27,7412.05
2020-01-28,7480.69
2020-01-29,7483.57
2020-01-30,7381.96
2020-01-31,7286.01
2020-02-03,7326.31
2020-02-04,7439.82
2020-02-05,7482.48
2020-02-06,7504.79
2020-02-07,7466.7
2020-02-10,7446.88
2020-02-11,7499.44
2020-02-12,7534.37
2020-02-13,7452.03
2020-02-14,7409.13
2020-02-17,7433.25
2020-02-18,7382.01
2020-02-19,7457.02
2020-02-20,7436.64
2020-02-21,7403.92
2020-02-24,7156.83
2020-02-25,7017.88
2020-02-26,7042.47
2020-02-27,6796.4
2020-02-28,6580.61
2020-03-02,6654.89
2020-03-03,6718.2
2020-03-04,6815.59
2020-03-05,6705.43
2020-03-06,6462.55
2020-03-09,5965.77
2020-03-10,5960.23
2020-03-11,5876.52
2020-03-12,5237.48
2020-03-13,5366.11
2020-03-16,5151.08
2020-03-17,5294.9
2020-03-18,5080.58
2020-03-19,5151.61
2020-03-20,5190.78
2020-03-23,4993.89
2020-03-24,5446.01
2020-03-25,5688.2
2020-03-26,5815.73
2020-03-27,5510.33
2020-03-30,5563.74
2020-03-31,5671.96
2020-04-01,5454.57
2020-04-02,5480.22
2020-04-03,5415.5
2020-04-06,5582.39
2020-04-07,5704.45
2020-04-08,5677.73
2020-04-09,5842.66
2020-04-14,5791.31
2020-04-15,5597.65
2020-04-16,5628.43
2020-04-17,5786.96
2020-04-20,5812.83
2020-04-21,5641.03
2020-04-22,5770.63
2020-04-23,5826.61
2020-04-24,5752.23
2020-04-27,5846.79
2020-04-28,5958.5
2020-04-29,6115.25
2020-04-30,5901.21
2020-05-01,5763.06
2020-05-04,5753.78
2020-05-05,5849.42
2020-05-06,5853.76
2020-05-07,5935.98
2020-05-11,5939.73
2020-05-12,5994.77
2020-05-13,5904.05
2020-05-14,5741.54
2020-05-15,5799.77
2020-05-18,6048.59
2020-05-19,6002.23
2020-05-20,6067.16
2020-05-21,6015.25
2020-05-22,5993.28
2020-05-26,6067.76
2020-05-27,6144.25
2020-05-28,6218.79
2020-05-29,6076.6
2020-06-01,6166.42
