date,value1,value2,value3
2007-01-01,5.53,72.50,23.193
2007-02-01,5.51,72.50,23.21
2007-03-01,5.47,72.54,23.213
2007-04-01,5.39,72.69,23.117
2007-05-01,5.35,72.65,23.196
2007-06-01,5.31,72.64,23.241
2007-07-01,5.30,72.64,23.233
2007-08-01,5.31,72.68,23.179
2007-09-01,5.24,72.77,23.15
2007-10-01,5.24,72.83,23.08
2007-11-01,5.16,72.91,23.058
2007-12-01,5.18,72.93,23.021
2008-01-01,5.18,73.02,22.927
2008-02-01,5.18,72.98,22.974
2008-03-01,5.31,72.96,22.885
2008-04-01,5.18,73.03,22.927
2008-05-01,5.35,72.90,22.917
2008-06-01,5.49,72.79,22.919
2008-07-01,5.71,72.56,22.988
2008-08-01,5.86,72.44,22.996
2008-09-01,5.97,72.28,23.071
2008-10-01,6.16,72.29,22.895
2008-11-01,6.35,72.17,22.851
2008-12-01,6.51,72.19,22.695
2009-01-01,6.74,71.88,22.838
2009-02-01,7.07,71.67,22.786
2009-03-01,7.27,71.40,22.908
2009-04-01,7.59,71.05,23.012
2009-05-01,7.76,70.84,23.097
2009-06-01,7.87,70.62,23.255
2009-07-01,7.87,70.66,23.19
2009-08-01,7.85,70.62,23.27
2009-09-01,7.87,70.60,23.274
2009-10-01,7.78,70.58,23.371
2009-11-01,7.77,70.55,23.397
2009-12-01,7.73,70.42,23.587
2010-01-01,7.92,70.28,23.57
2010-02-01,8.01,70.20,23.588
2010-03-01,7.95,70.21,23.606
2010-04-01,7.92,70.40,23.429
2010-05-01,7.85,70.42,23.451
2010-06-01,7.82,70.62,23.252
2010-07-01,7.78,70.64,23.27
2010-08-01,7.76,70.71,23.219
2010-09-01,7.90,70.49,23.329
2010-10-01,7.87,70.34,23.518
2010-11-01,7.86,70.39,23.468
2010-12-01,7.91,70.47,23.34
2011-01-01,7.80,70.59,23.297
2011-02-01,7.78,70.55,23.36
2011-03-01,7.72,70.48,23.483
2011-04-01,7.82,70.51,23.362
2011-05-01,7.94,70.45,23.329
2011-06-01,8.01,70.22,23.531
2011-07-01,8.18,70.20,23.423
2011-08-01,8.33,70.11,23.397
2011-09-01,8.37,70.14,23.331
2011-10-01,8.47,70.15,23.236
2011-11-01,8.39,70.22,23.215
2011-12-01,8.35,70.24,23.22
2012-01-01,8.29,70.31,23.194
2012-02-01,8.21,70.47,23.102
2012-03-01,8.17,70.53,23.059
2012-04-01,8.08,70.66,22.98
2012-05-01,7.99,70.91,22.778
2012-06-01,8.04,71.06,22.571
2012-07-01,7.89,71.16,22.589
2012-08-01,7.86,71.13,22.65
2012-09-01,7.85,71.07,22.723
2012-10-01,7.82,71.29,22.519
2012-11-01,7.81,71.40,22.394
2012-12-01,7.82,71.36,22.425
2013-01-01,7.98,71.16,22.499
2013-02-01,7.85,71.18,22.596
2013-03-01,7.79,71.24,22.581
