date,group,value
2014,EU,8
2015,EU,7
2016,EU,10
2017,EU,8
2018,EU,10
2019,EU,15
2014,Non-EU,-17
2015,Non-EU,-19
2016,Non-EU,-25
2017,Non-EU,-13
2018,Non-EU,-13
2019,Non-EU,-11
