region,value
North,156892
Yorkshire and the Humber,199615
North West,208600
East Midlands,233459
West Midlands,240975
East Anglia,285776
Outer South East,344027
Outer Met,428201
London,528000
South West,307588
Wales,205666
Scotland,178269
Northern Ireland,176637
UK,265195
