Time,Value,Detail
1970,8.922400475,"School enrollment, primary, female (% gross)"
1971,8.941419601,Afghanistan
1972,9.186030388,
1973,9.639430046,
1974,9.730669975,
1975,10.45442009,
1976,11.06956959,
1977,11.80537987,
1978,12.63012028,
1979,null,
1980,16.28937912,
1981,18.03260994,
1982,11.49034023,
1983,null,
1984,14.01731014,
1985,15.47144032,
1986,18.04252052,
1987,null,
1988,21.54541016,
1989,20.73736954,
1990,20.38771057,
1991,19.21422005,
1992,null,
1993,14.89356041,
1994,26.49334908,
1995,28.65940094,
1996,null,
1997,null,
1998,null,
1999,3.844340086,
2000,null,
2001,null,
2002,42.82884979,
2003,66.6979599,
2004,62.5909996,
2005,71.81207275,
2006,77.66840363,
2007,74.82183838,
2008,77.98242188,
2009,76.51035309,
2010,80.6354599,
2011,80.93682861,
2012,86.32884216,
2013,85.90213776,
2014,86.729599,
2015,83.50441742,
2016,82.55835724,
2017,82.08027649,
2018,82.85025024,
