Week,Measure,Value
18-08-2019,Bird Feeder,20
25-08-2019,Bird Feeder,18
01-09-2019,Bird Feeder,20
08-09-2019,Bird Feeder,16
15-09-2019,Bird Feeder,17
22-09-2019,Bird Feeder,19
29-09-2019,Bird Feeder,17
06-10-2019,Bird Feeder,15
13-10-2019,Bird Feeder,19
20-10-2019,Bird Feeder,20
27-10-2019,Bird Feeder,20
03-11-2019,Bird Feeder,24
10-11-2019,Bird Feeder,22
17-11-2019,Bird Feeder,29
24-11-2019,Bird Feeder,25
01-12-2019,Bird Feeder,27
08-12-2019,Bird Feeder,26
15-12-2019,Bird Feeder,28
22-12-2019,Bird Feeder,23
29-12-2019,Bird Feeder,22
05-01-2020,Bird Feeder,23
12-01-2020,Bird Feeder,25
19-01-2020,Bird Feeder,24
26-01-2020,Bird Feeder,22
02-02-2020,Bird Feeder,17
09-02-2020,Bird Feeder,19
16-02-2020,Bird Feeder,26
23-02-2020,Bird Feeder,23
01-03-2020,Bird Feeder,24
08-03-2020,Bird Feeder,22
15-03-2020,Bird Feeder,25
22-03-2020,Bird Feeder,38
29-03-2020,Bird Feeder,52
05-04-2020,Bird Feeder,67
12-04-2020,Bird Feeder,69
19-04-2020,Bird Feeder,82
26-04-2020,Bird Feeder,88
03-05-2020,Bird Feeder,94
10-05-2020,Bird Feeder,97
17-05-2020,Bird Feeder,100
24-05-2020,Bird Feeder,99
31-05-2020,Bird Feeder,80
07-06-2020,Bird Feeder,72
14-06-2020,Bird Feeder,65
21-06-2020,Bird Feeder,57
28-06-2020,Bird Feeder,51
05-07-2020,Bird Feeder,47
12-07-2020,Bird Feeder,44
19-07-2020,Bird Feeder,38
26-07-2020,Bird Feeder,34
02-08-2020,Bird Feeder,35
09-08-2020,Bird Feeder,33
16-08-2020,Bird Feeder,26
23-08-2020,Bird Feeder,32
30-08-2020,Bird Feeder,28
06-09-2020,Bird Feeder,27
13-09-2020,Bird Feeder,31
20-09-2020,Bird Feeder,30
27-09-2020,Bird Feeder,26
04-10-2020,Bird Feeder,26
11-10-2020,Bird Feeder,30
18-10-2020,Bird Feeder,33
25-10-2020,Bird Feeder,28
01-11-2020,Bird Feeder,29
08-11-2020,Bird Feeder,31
15-11-2020,Bird Feeder,40
22-11-2020,Bird Feeder,45
29-11-2020,Bird Feeder,42
06-12-2020,Bird Feeder,47
13-12-2020,Bird Feeder,39
20-12-2020,Bird Feeder,37
27-12-2020,Bird Feeder,42
03-01-2021,Bird Feeder,43
10-01-2021,Bird Feeder,48
17-01-2016,Bird Bath,7
24-01-2016,Bird Bath,6
31-01-2016,Bird Bath,4
07-02-2016,Bird Bath,6
14-02-2016,Bird Bath,7
21-02-2016,Bird Bath,8
28-02-2016,Bird Bath,7
06-03-2016,Bird Bath,8
13-03-2016,Bird Bath,10
20-03-2016,Bird Bath,12
27-03-2016,Bird Bath,10
03-04-2016,Bird Bath,10
10-04-2016,Bird Bath,16
17-04-2016,Bird Bath,18
24-04-2016,Bird Bath,16
01-05-2016,Bird Bath,19
08-05-2016,Bird Bath,18
15-05-2016,Bird Bath,16
22-05-2016,Bird Bath,19
29-05-2016,Bird Bath,19
05-06-2016,Bird Bath,16
12-06-2016,Bird Bath,15
19-06-2016,Bird Bath,17
26-06-2016,Bird Bath,14
03-07-2016,Bird Bath,16
10-07-2016,Bird Bath,14
17-07-2016,Bird Bath,10
24-07-2016,Bird Bath,14
31-07-2016,Bird Bath,11
07-08-2016,Bird Bath,10
14-08-2016,Bird Bath,9
21-08-2016,Bird Bath,8
28-08-2016,Bird Bath,8
04-09-2016,Bird Bath,8
11-09-2016,Bird Bath,7
18-09-2016,Bird Bath,8
25-09-2016,Bird Bath,6
02-10-2016,Bird Bath,6
09-10-2016,Bird Bath,5
16-10-2016,Bird Bath,5
23-10-2016,Bird Bath,7
30-10-2016,Bird Bath,7
06-11-2016,Bird Bath,5
13-11-2016,Bird Bath,10
20-11-2016,Bird Bath,7
27-11-2016,Bird Bath,10
04-12-2016,Bird Bath,10
11-12-2016,Bird Bath,10
18-12-2016,Bird Bath,9
25-12-2016,Bird Bath,7
01-01-2017,Bird Bath,8
08-01-2017,Bird Bath,7
15-01-2017,Bird Bath,9
22-01-2017,Bird Bath,5
29-01-2017,Bird Bath,7
05-02-2017,Bird Bath,7
12-02-2017,Bird Bath,6
19-02-2017,Bird Bath,11
26-02-2017,Bird Bath,11
05-03-2017,Bird Bath,9
12-03-2017,Bird Bath,8
19-03-2017,Bird Bath,14
26-03-2017,Bird Bath,13
02-04-2017,Bird Bath,14
09-04-2017,Bird Bath,14
16-04-2017,Bird Bath,13
23-04-2017,Bird Bath,17
30-04-2017,Bird Bath,17
07-05-2017,Bird Bath,22
14-05-2017,Bird Bath,20
21-05-2017,Bird Bath,19
28-05-2017,Bird Bath,20
04-06-2017,Bird Bath,18
11-06-2017,Bird Bath,21
18-06-2017,Bird Bath,19
25-06-2017,Bird Bath,20
02-07-2017,Bird Bath,20
09-07-2017,Bird Bath,16
16-07-2017,Bird Bath,17
23-07-2017,Bird Bath,12
30-07-2017,Bird Bath,14
06-08-2017,Bird Bath,15
13-08-2017,Bird Bath,10
20-08-2017,Bird Bath,7
27-08-2017,Bird Bath,8
03-09-2017,Bird Bath,7
10-09-2017,Bird Bath,8
17-09-2017,Bird Bath,9
24-09-2017,Bird Bath,9
01-10-2017,Bird Bath,9
08-10-2017,Bird Bath,7
15-10-2017,Bird Bath,8
22-10-2017,Bird Bath,6
29-10-2017,Bird Bath,6
05-11-2017,Bird Bath,10
12-11-2017,Bird Bath,7
19-11-2017,Bird Bath,9
26-11-2017,Bird Bath,9
03-12-2017,Bird Bath,11
10-12-2017,Bird Bath,11
17-12-2017,Bird Bath,7
24-12-2017,Bird Bath,8
31-12-2017,Bird Bath,11
07-01-2018,Bird Bath,6
14-01-2018,Bird Bath,9
21-01-2018,Bird Bath,6
28-01-2018,Bird Bath,8
04-02-2018,Bird Bath,10
11-02-2018,Bird Bath,8
18-02-2018,Bird Bath,8
25-02-2018,Bird Bath,10
04-03-2018,Bird Bath,10
11-03-2018,Bird Bath,11
18-03-2018,Bird Bath,12
25-03-2018,Bird Bath,12
01-04-2018,Bird Bath,14
08-04-2018,Bird Bath,15
15-04-2018,Bird Bath,16
22-04-2018,Bird Bath,16
29-04-2018,Bird Bath,20
06-05-2018,Bird Bath,26
13-05-2018,Bird Bath,23
20-05-2018,Bird Bath,27
27-05-2018,Bird Bath,29
03-06-2018,Bird Bath,26
10-06-2018,Bird Bath,22
17-06-2018,Bird Bath,22
24-06-2018,Bird Bath,23
01-07-2018,Bird Bath,26
08-07-2018,Bird Bath,20
15-07-2018,Bird Bath,20
22-07-2018,Bird Bath,19
29-07-2018,Bird Bath,15
05-08-2018,Bird Bath,16
12-08-2018,Bird Bath,12
19-08-2018,Bird Bath,10
26-08-2018,Bird Bath,11
02-09-2018,Bird Bath,11
09-09-2018,Bird Bath,10
16-09-2018,Bird Bath,7
23-09-2018,Bird Bath,9
30-09-2018,Bird Bath,8
07-10-2018,Bird Bath,8
14-10-2018,Bird Bath,6
21-10-2018,Bird Bath,10
28-10-2018,Bird Bath,9
04-11-2018,Bird Bath,8
11-11-2018,Bird Bath,10
18-11-2018,Bird Bath,10
25-11-2018,Bird Bath,10
02-12-2018,Bird Bath,13
09-12-2018,Bird Bath,13
16-12-2018,Bird Bath,11
23-12-2018,Bird Bath,13
30-12-2018,Bird Bath,13
06-01-2019,Bird Bath,10
13-01-2019,Bird Bath,8
20-01-2019,Bird Bath,11
27-01-2019,Bird Bath,11
03-02-2019,Bird Bath,6
10-02-2019,Bird Bath,10
17-02-2019,Bird Bath,10
24-02-2019,Bird Bath,10
03-03-2019,Bird Bath,11
10-03-2019,Bird Bath,10
17-03-2019,Bird Bath,15
24-03-2019,Bird Bath,15
31-03-2019,Bird Bath,16
07-04-2019,Bird Bath,18
14-04-2019,Bird Bath,24
21-04-2019,Bird Bath,21
28-04-2019,Bird Bath,23
05-05-2019,Bird Bath,32
12-05-2019,Bird Bath,28
19-05-2019,Bird Bath,26
26-05-2019,Bird Bath,33
02-06-2019,Bird Bath,23
09-06-2019,Bird Bath,22
16-06-2019,Bird Bath,19
23-06-2019,Bird Bath,22
30-06-2019,Bird Bath,21
07-07-2019,Bird Bath,20
14-07-2019,Bird Bath,20
21-07-2019,Bird Bath,17
28-07-2019,Bird Bath,14
04-08-2019,Bird Bath,18
11-08-2019,Bird Bath,16
18-08-2019,Bird Bath,14
25-08-2019,Bird Bath,10
01-09-2019,Bird Bath,12
08-09-2019,Bird Bath,9
15-09-2019,Bird Bath,10
22-09-2019,Bird Bath,12
29-09-2019,Bird Bath,10
06-10-2019,Bird Bath,10
13-10-2019,Bird Bath,9
20-10-2019,Bird Bath,13
27-10-2019,Bird Bath,10
03-11-2019,Bird Bath,12
10-11-2019,Bird Bath,12
17-11-2019,Bird Bath,11
24-11-2019,Bird Bath,11
01-12-2019,Bird Bath,13
08-12-2019,Bird Bath,15
15-12-2019,Bird Bath,11
22-12-2019,Bird Bath,13
29-12-2019,Bird Bath,11
05-01-2020,Bird Bath,10
12-01-2020,Bird Bath,9
19-01-2020,Bird Bath,9
26-01-2020,Bird Bath,9
02-02-2020,Bird Bath,8
09-02-2020,Bird Bath,11
16-02-2020,Bird Bath,10
23-02-2020,Bird Bath,12
01-03-2020,Bird Bath,13
08-03-2020,Bird Bath,12
15-03-2020,Bird Bath,10
22-03-2020,Bird Bath,16
29-03-2020,Bird Bath,19
05-04-2020,Bird Bath,25
12-04-2020,Bird Bath,32
19-04-2020,Bird Bath,40
26-04-2020,Bird Bath,48
03-05-2020,Bird Bath,58
10-05-2020,Bird Bath,57
17-05-2020,Bird Bath,60
24-05-2020,Bird Bath,72
31-05-2020,Bird Bath,57
07-06-2020,Bird Bath,61
14-06-2020,Bird Bath,59
21-06-2020,Bird Bath,49
28-06-2020,Bird Bath,43
05-07-2020,Bird Bath,42
12-07-2020,Bird Bath,39
19-07-2020,Bird Bath,40
26-07-2020,Bird Bath,34
02-08-2020,Bird Bath,32
09-08-2020,Bird Bath,29
16-08-2020,Bird Bath,26
23-08-2020,Bird Bath,20
30-08-2020,Bird Bath,22
06-09-2020,Bird Bath,19
13-09-2020,Bird Bath,17
20-09-2020,Bird Bath,16
27-09-2020,Bird Bath,14
04-10-2020,Bird Bath,16
11-10-2020,Bird Bath,18
18-10-2020,Bird Bath,16
25-10-2020,Bird Bath,14
01-11-2020,Bird Bath,14
08-11-2020,Bird Bath,17
15-11-2020,Bird Bath,17
22-11-2020,Bird Bath,17
29-11-2020,Bird Bath,18
06-12-2020,Bird Bath,17
13-12-2020,Bird Bath,12
20-12-2020,Bird Bath,13
27-12-2020,Bird Bath,16
03-01-2021,Bird Bath,16
10-01-2021,Bird Bath,7
17-01-2016,Bird Seed,12
24-01-2016,Bird Seed,9
31-01-2016,Bird Seed,7
07-02-2016,Bird Seed,8
14-02-2016,Bird Seed,7
21-02-2016,Bird Seed,9
28-02-2016,Bird Seed,6
06-03-2016,Bird Seed,8
13-03-2016,Bird Seed,10
20-03-2016,Bird Seed,8
27-03-2016,Bird Seed,9
03-04-2016,Bird Seed,9
10-04-2016,Bird Seed,12
17-04-2016,Bird Seed,11
24-04-2016,Bird Seed,11
01-05-2016,Bird Seed,12
08-05-2016,Bird Seed,10
15-05-2016,Bird Seed,11
22-05-2016,Bird Seed,11
29-05-2016,Bird Seed,8
05-06-2016,Bird Seed,10
12-06-2016,Bird Seed,12
19-06-2016,Bird Seed,11
26-06-2016,Bird Seed,11
03-07-2016,Bird Seed,14
10-07-2016,Bird Seed,7
17-07-2016,Bird Seed,13
24-07-2016,Bird Seed,7
31-07-2016,Bird Seed,7
07-08-2016,Bird Seed,7
14-08-2016,Bird Seed,7
21-08-2016,Bird Seed,7
28-08-2016,Bird Seed,8
04-09-2016,Bird Seed,7
11-09-2016,Bird Seed,7
18-09-2016,Bird Seed,9
25-09-2016,Bird Seed,8
02-10-2016,Bird Seed,9
09-10-2016,Bird Seed,7
16-10-2016,Bird Seed,8
23-10-2016,Bird Seed,9
30-10-2016,Bird Seed,7
06-11-2016,Bird Seed,9
13-11-2016,Bird Seed,7
20-11-2016,Bird Seed,8
27-11-2016,Bird Seed,7
04-12-2016,Bird Seed,9
11-12-2016,Bird Seed,11
18-12-2016,Bird Seed,11
25-12-2016,Bird Seed,10
01-01-2017,Bird Seed,9
08-01-2017,Bird Seed,10
15-01-2017,Bird Seed,10
22-01-2017,Bird Seed,6
29-01-2017,Bird Seed,8
05-02-2017,Bird Seed,9
12-02-2017,Bird Seed,8
19-02-2017,Bird Seed,7
26-02-2017,Bird Seed,8
05-03-2017,Bird Seed,10
12-03-2017,Bird Seed,9
19-03-2017,Bird Seed,8
26-03-2017,Bird Seed,9
02-04-2017,Bird Seed,12
09-04-2017,Bird Seed,14
16-04-2017,Bird Seed,12
23-04-2017,Bird Seed,14
30-04-2017,Bird Seed,8
07-05-2017,Bird Seed,10
14-05-2017,Bird Seed,12
21-05-2017,Bird Seed,10
28-05-2017,Bird Seed,10
04-06-2017,Bird Seed,13
11-06-2017,Bird Seed,13
18-06-2017,Bird Seed,11
25-06-2017,Bird Seed,9
02-07-2017,Bird Seed,13
09-07-2017,Bird Seed,13
16-07-2017,Bird Seed,8
23-07-2017,Bird Seed,12
30-07-2017,Bird Seed,9
06-08-2017,Bird Seed,9
13-08-2017,Bird Seed,9
20-08-2017,Bird Seed,7
27-08-2017,Bird Seed,8
03-09-2017,Bird Seed,8
10-09-2017,Bird Seed,9
17-09-2017,Bird Seed,9
24-09-2017,Bird Seed,8
01-10-2017,Bird Seed,8
08-10-2017,Bird Seed,9
15-10-2017,Bird Seed,8
22-10-2017,Bird Seed,11
29-10-2017,Bird Seed,9
05-11-2017,Bird Seed,10
12-11-2017,Bird Seed,8
19-11-2017,Bird Seed,11
26-11-2017,Bird Seed,11
03-12-2017,Bird Seed,9
