Sector,Value,Detail
Wholesale/retail trade (vehicles/motorcycles),-0.8,Contributions to services growth
Acommodation and food,-0.38,2021Q1
Education,-1.06,
Other services,-0.29,
Health and social,0.22,
Admin and support,0.06,
Scientific and technical,0.07,
Arts and entertainment,-0.04,
Transport and storage,-0.08,
Info and comms,0.03,
Activities of HH as employers,0.03,
Public admin and defence,0.02,
Real estate,0.07,
Financial and insurance ,0.08,
