Region,Value,Detail
West Wales & the Valleys,"18,601","GVA per head (2019), £thousand"
Tees Valey & Durham,"19,006",Current basic prices
South Yorkshire,"19,716",ONS
Cornwall & Isles of Scilly,"20,055",
Lincolnshire,"22,514",
Southern Scotland,"20,446",
"Outer London (E, NE)","20,794",
Merseyside,"21,547",
Devon,"21,696",
Shropshire & Staffordshire,"21,853",
South West,"25,629",
UK,"29,599",
