Trade destination,Trade type,Value
GB,Total,10.6
GB,Goods,6.5
GB,Services,4
Rep. of Ireland,Total,4.2
Rep. of Ireland,Goods,3.1
Rep. of Ireland,Services,1.1
Rest of EU,Total,2.5
Rest of EU,Goods,2.1
Rest of EU,Services,0.4
Rest of World,Total,4.5
Rest of World,Goods,3.5
Rest of World,Services,1
