Date,SVB share price (US $)
2019-02-26,245.089996
2019-02-27,250.509995
2019-02-28,247.160004
2019-03-01,249.669998
2019-03-04,249.089996
2019-03-05,248.009995
2019-03-06,242.75
2019-03-07,239.199997
2019-03-08,239.690002
2019-03-11,242.190002
2019-03-12,240.940002
2019-03-13,244.009995
2019-03-14,245.479996
2019-03-15,246.210007
2019-03-18,250.270004
2019-03-19,245.529999
2019-03-20,236.710007
2019-03-21,228.309998
2019-03-22,212.190002
2019-03-25,214.669998
2019-03-26,219.889999
2019-03-27,218.300003
2019-03-28,222.589996
2019-03-29,222.360001
2019-04-01,230.740005
2019-04-02,232.360001
2019-04-03,233.779999
2019-04-04,236.020004
2019-04-05,237.460007
2019-04-08,238.919998
2019-04-09,234.539993
2019-04-10,237.270004
2019-04-11,238.429993
2019-04-12,243.740005
2019-04-15,240.110001
2019-04-16,246.199997
2019-04-17,245.720001
2019-04-18,243.139999
2019-04-22,242.669998
2019-04-23,249.75
2019-04-24,248.880005
2019-04-25,247.360001
2019-04-26,247.630005
2019-04-29,252.690002
2019-04-30,251.720001
2019-05-01,250.429993
2019-05-02,255.419998
2019-05-03,258.609985
2019-05-06,257.660004
2019-05-07,251.350006
2019-05-08,250.570007
2019-05-09,250.149994
2019-05-10,247.889999
2019-05-13,232.080002
2019-05-14,236.339996
2019-05-15,229.479996
2019-05-16,232.300003
2019-05-17,229.770004
2019-05-20,232.850006
2019-05-21,236.850006
2019-05-22,231.169998
2019-05-23,221
2019-05-24,224.600006
2019-05-28,219.649994
2019-05-29,217.889999
2019-05-30,211.639999
2019-05-31,201.399994
2019-06-03,202.779999
2019-06-04,214.669998
2019-06-05,212.270004
2019-06-06,214.5
2019-06-07,212.940002
2019-06-10,214.520004
2019-06-11,215.520004
2019-06-12,213.789993
2019-06-13,217.539993
2019-06-14,218.179993
2019-06-17,217.509995
2019-06-18,220.800003
2019-06-19,213.740005
2019-06-20,214.339996
2019-06-21,216.190002
2019-06-24,214.130005
2019-06-25,214.5
2019-06-26,216.770004
2019-06-27,221.289993
2019-06-28,224.589996
2019-07-01,223.360001
2019-07-02,217.070007
2019-07-03,218.270004
2019-07-05,222.899994
2019-07-08,215.169998
2019-07-09,217.740005
2019-07-10,212.639999
2019-07-11,217.070007
2019-07-12,222.25
2019-07-15,218.779999
2019-07-16,217.639999
2019-07-17,215.139999
2019-07-18,217.210007
2019-07-19,219.309998
2019-07-22,219.029999
2019-07-23,218.539993
2019-07-24,226.070007
2019-07-25,224.089996
2019-07-26,233.789993
2019-07-29,228.610001
2019-07-30,230.830002
2019-07-31,231.970001
2019-08-01,218.240005
2019-08-02,215.050003
2019-08-05,205.809998
2019-08-06,207.070007
2019-08-07,197.320007
2019-08-08,205.630005
2019-08-09,199.229996
2019-08-12,194.809998
2019-08-13,198.550003
2019-08-14,190.119995
2019-08-15,185.929993
2019-08-16,191.710007
2019-08-19,195.710007
2019-08-20,192.990005
2019-08-21,194.449997
2019-08-22,195.440002
2019-08-23,187.449997
2019-08-26,187.910004
2019-08-27,184.710007
2019-08-28,187.210007
2019-08-29,193.830002
2019-08-30,194.619995
2019-09-03,190.009995
2019-09-04,192.100006
2019-09-05,199.779999
2019-09-06,201.279999
2019-09-09,211.729996
2019-09-10,218.130005
2019-09-11,222.080002
2019-09-12,217.759995
2019-09-13,224.009995
2019-09-16,221.360001
2019-09-17,213.429993
2019-09-18,217.850006
2019-09-19,216.059998
2019-09-20,216.580002
2019-09-23,215.570007
2019-09-24,207.630005
2019-09-25,214.050003
2019-09-26,206.050003
2019-09-27,206.149994
2019-09-30,208.949997
2019-10-01,198.929993
2019-10-02,195.800003
2019-10-03,195.559998
2019-10-04,197.669998
2019-10-07,197.339996
2019-10-08,188.330002
2019-10-09,190.850006
2019-10-10,192.440002
2019-10-11,202.160004
2019-10-14,199.440002
2019-10-15,206.770004
2019-10-16,205.190002
2019-10-17,204.839996
2019-10-18,204.720001
2019-10-21,210.479996
2019-10-22,210.160004
2019-10-23,210.130005
2019-10-24,207.710007
2019-10-25,219.789993
2019-10-28,227.279999
2019-10-29,229.149994
2019-10-30,226.690002
2019-10-31,221.479996
2019-11-01,230.889999
2019-11-04,237.960007
2019-11-05,239.529999
2019-11-06,231.470001
2019-11-07,239.449997
2019-11-08,238.600006
2019-11-11,237.210007
2019-11-12,238.679993
2019-11-13,234.119995
2019-11-14,232.949997
2019-11-15,234.059998
2019-11-18,229.179993
2019-11-19,229.5
2019-11-20,228.380005
2019-11-21,227.929993
2019-11-22,231.020004
2019-11-25,235.75
2019-11-26,232.960007
2019-11-27,234.869995
2019-11-29,231.729996
2019-12-02,229.789993
2019-12-03,225.270004
2019-12-04,230.149994
2019-12-05,229.399994
2019-12-06,237.410004
2019-12-09,236.360001
2019-12-10,238.630005
2019-12-11,239.419998
2019-12-12,251.210007
2019-12-13,249.309998
2019-12-16,251.220001
2019-12-17,254.210007
2019-12-18,251.75
2019-12-19,250.119995
2019-12-20,250.940002
2019-12-23,252.160004
2019-12-24,252.070007
2019-12-26,253.179993
2019-12-27,250.309998
2019-12-30,249.820007
2019-12-31,251.039993
2020-01-02,254.270004
2020-01-03,250.330002
2020-01-06,249.240005
2020-01-07,250.399994
2020-01-08,252.779999
2020-01-09,256.109985
2020-01-10,251.729996
2020-01-13,253.850006
2020-01-14,253.490005
2020-01-15,250.589996
2020-01-16,252.300003
2020-01-17,258.399994
2020-01-21,254.199997
2020-01-22,256.299988
2020-01-23,259.079987
2020-01-24,252.660004
2020-01-27,243.380005
2020-01-28,251.279999
2020-01-29,246.020004
2020-01-30,248.139999
2020-01-31,240.330002
2020-02-03,244.690002
2020-02-04,254.729996
2020-02-05,262.700012
2020-02-06,262.089996
2020-02-07,257.149994
2020-02-10,256.309998
2020-02-11,263.640015
2020-02-12,265.100006
2020-02-13,265.950012
2020-02-14,265.420013
2020-02-18,261.109985
2020-02-19,266.98999
2020-02-20,270.790009
2020-02-21,261.420013
2020-02-24,243.270004
2020-02-25,232.160004
2020-02-26,224.300003
2020-02-27,211.369995
2020-02-28,208.160004
2020-03-02,216.75
2020-03-03,198.630005
2020-03-04,202.380005
2020-03-05,185.059998
2020-03-06,174.440002
2020-03-09,148.149994
2020-03-10,161.970001
2020-03-11,148.75
2020-03-12,136.960007
2020-03-13,156.669998
2020-03-16,130.979996
2020-03-17,149.369995
2020-03-18,150.509995
2020-03-19,168.169998
2020-03-20,150.639999
2020-03-23,143.210007
2020-03-24,158.369995
2020-03-25,165
2020-03-26,171.529999
2020-03-27,159.339996
2020-03-30,155.779999
2020-03-31,151.080002
2020-04-01,140.009995
2020-04-02,142.949997
2020-04-03,139.339996
2020-04-06,159.320007
2020-04-07,160.100006
2020-04-08,168.580002
2020-04-09,185.690002
2020-04-13,170.410004
2020-04-14,172.059998
2020-04-15,161.889999
2020-04-16,161.360001
2020-04-17,173.690002
2020-04-20,174.669998
2020-04-21,165.490005
2020-04-22,167.5
2020-04-23,171
2020-04-24,184
2020-04-27,192.630005
2020-04-28,193.25
2020-04-29,201.429993
2020-04-30,193.169998
2020-05-01,184.860001
2020-05-04,182.350006
2020-05-05,180.839996
2020-05-06,180.009995
2020-05-07,183.639999
2020-05-08,185.850006
2020-05-11,179.229996
2020-05-12,169.850006
2020-05-13,159.889999
2020-05-14,173.279999
2020-05-15,172.789993
2020-05-18,187.460007
2020-05-19,183.130005
2020-05-20,194.919998
2020-05-21,190.850006
2020-05-22,189.490005
2020-05-26,208.660004
2020-05-27,221.380005
2020-05-28,215.600006
2020-05-29,214.75
2020-06-01,212.809998
2020-06-02,209.899994
2020-06-03,219.990005
2020-06-04,223.190002
2020-06-05,235.199997
2020-06-08,236.039993
2020-06-09,234.309998
2020-06-10,221.809998
2020-06-11,203.940002
2020-06-12,208.529999
2020-06-15,216.649994
2020-06-16,221.809998
2020-06-17,219.149994
2020-06-18,220.580002
2020-06-19,221.839996
2020-06-22,219.899994
2020-06-23,220.470001
2020-06-24,207.979996
2020-06-25,215
2020-06-26,203.860001
2020-06-29,206.889999
2020-06-30,215.529999
2020-07-01,206.279999
2020-07-02,208.339996
2020-07-06,213.410004
2020-07-07,207.779999
2020-07-08,209.919998
2020-07-09,201.649994
2020-07-10,212
2020-07-13,214.429993
2020-07-14,208.110001
2020-07-15,220.779999
2020-07-16,220.179993
2020-07-17,217.570007
2020-07-20,216.860001
2020-07-21,224.729996
2020-07-22,222
2020-07-23,224.889999
2020-07-24,230.429993
2020-07-27,225.690002
2020-07-28,221.479996
2020-07-29,228.779999
2020-07-30,225.350006
2020-07-31,224.270004
2020-08-03,227.580002
2020-08-04,226.710007
2020-08-05,231.759995
2020-08-06,229.380005
2020-08-07,237.339996
2020-08-10,240.100006
2020-08-11,252.860001
2020-08-12,252.979996
2020-08-13,249.600006
2020-08-14,250.380005
2020-08-17,245.690002
2020-08-18,241.509995
2020-08-19,243.050003
2020-08-20,240.710007
2020-08-21,239.419998
2020-08-24,249.360001
2020-08-25,254.509995
2020-08-26,249.350006
2020-08-27,252.039993
2020-08-28,255.009995
2020-08-31,255.380005
2020-09-01,256.160004
2020-09-02,259.209991
2020-09-03,259
2020-09-04,259.730011
2020-09-08,253.380005
2020-09-09,256.230011
2020-09-10,248.330002
2020-09-11,248.589996
2020-09-14,250.679993
2020-09-15,248.229996
2020-09-16,249.669998
2020-09-17,245.910004
2020-09-18,246.369995
2020-09-21,237.860001
2020-09-22,230.470001
